IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,q0011,q0012,q0013,q0014,q0015,q0016,q0017,q0018,q0019,q0022,q0024,q0025,q0026,q0027,q0028,q0029,q0032,q0034,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0052,q0054,q0055,q0056,q0061,q0062,q0063,q0066,q0067,q0068,q0069,q0071,q0073,q0075,q0076,q0077,q0079,q0080,q0081,q0082,q0086,q0087,q0088,q0089,q0091,q0093,q0095,q0096,q0097,q0098,q0100,q0101,q0102,q0103,q0104,q0105,q0106,q0107,q0110,q0112,q0114,q0117,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
362054,Sp,19,Male,Some college or associate degree,Hispanic,south,3,3,4,4,3,2,3,3,2,4,2,1,1,2,1,1,1,2,2,1,1,2,1,3,2,2,1,3,2,2,1,1,2,1,2,3,2,2,1,2,1,2,1,2,3,2,2,1,1,2,2,1,2,2,1,2,3,2,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,2,1,3,2,1,2,09.5 to 20 mo,101,31,14,19,17,17,18,16,17
362053,Sp,22,Male,High school graduate (including GED),MultiRacial,south,2,2,2,3,3,2,3,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,21 to 31.5 mo,74,23,11,13,12,15,12,11,12
362056,Sp,17,Male,Some college or associate degree,Hispanic,west,1,1,2,1,1,2,2,3,1,3,2,1,4,1,3,1,1,2,4,3,1,2,1,2,1,3,2,1,3,2,1,1,1,2,1,1,1,1,3,1,1,1,3,2,2,1,2,1,3,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,09.5 to 20 mo,100,17,22,18,13,17,16,14,18
362058,Sp,16,Male,Some college or associate degree,Hispanic,south,3,4,4,3,2,4,4,4,3,3,1,1,2,2,3,1,1,2,1,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,09.5 to 20 mo,84,34,16,14,14,15,13,12,12
362059,Sp,17,Male,Some college or associate degree,Hispanic,northeast,1,2,2,2,2,2,3,2,2,1,3,2,4,1,2,1,1,1,2,2,1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1,1,2,1,1,1,2,09.5 to 20 mo,82,19,19,14,12,12,13,12,15
407003,Sp,16,Female,Bachelor's degree or higher,Hispanic,south,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,09.5 to 20 mo,72,10,10,10,13,14,12,13,10
362055,Sp,15,Male,High school graduate (including GED),Hispanic,south,1,2,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,1,3,3,1,3,2,2,1,1,2,1,1,1,1,3,2,2,1,2,2,2,3,1,3,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,3,3,1,2,1,2,1,2,2,2,4,2,2,1,4,2,2,1,2,1,2,1,1,2,09.5 to 20 mo,112,18,21,15,19,19,19,19,18
407004,Sp,16,Female,Some college or associate degree,White,south,1,2,3,1,2,1,2,3,2,1,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,2,1,2,3,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,3,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,09.5 to 20 mo,83,18,14,14,11,14,17,13,13
407005,Sp,17,Female,Bachelor's degree or higher,Hispanic,south,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,3,1,1,1,4,1,1,2,1,3,2,1,1,2,2,1,1,1,1,1,09.5 to 20 mo,81,10,12,17,11,12,11,18,13
407006,Sp,16,Female,Bachelor's degree or higher,Hispanic,south,1,1,1,1,1,1,2,3,2,2,3,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,4,3,1,2,1,1,1,1,2,1,1,2,2,4,2,1,1,2,1,2,1,2,2,1,09.5 to 20 mo,90,15,16,16,12,13,17,16,15
407007,Sp,12,Female,Bachelor's degree or higher,Hispanic,south,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,4,1,1,2,4,4,1,1,1,1,1,09.5 to 20 mo,68,13,12,10,11,10,10,15,17
