form,environ,age_group,scale,raw,t_score,percentile,min_age,max_age,interp_range
Infant,Home,4-6 months,T&S,31,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,30,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,29,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,28,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,27,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,26,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,25,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,24,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,23,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,22,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,21,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,20,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,T&S,19,68,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,T&S,18,68,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,T&S,17,65,93,4,6,Moderate Difficulties
Infant,Home,4-6 months,T&S,16,65,93,4,6,Moderate Difficulties
Infant,Home,4-6 months,T&S,15,63,90,4,6,Moderate Difficulties
Infant,Home,4-6 months,T&S,14,61,86,4,6,Moderate Difficulties
Infant,Home,4-6 months,T&S,13,59,82,4,6,Typical
Infant,Home,4-6 months,T&S,12,57,76,4,6,Typical
Infant,Home,4-6 months,T&S,11,52,58,4,6,Typical
Infant,Home,4-6 months,T&S,10,43,24,4,6,Typical
Infant,Home,4-6 months,BOD,40,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,39,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,38,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,37,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,36,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,35,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,34,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,33,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,32,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,31,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,30,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,29,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,28,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,27,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,26,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,25,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,24,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,23,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,BOD,22,69,97,4,6,Moderate Difficulties
Infant,Home,4-6 months,BOD,21,69,97,4,6,Moderate Difficulties
Infant,Home,4-6 months,BOD,20,66,95,4,6,Moderate Difficulties
Infant,Home,4-6 months,BOD,19,64,92,4,6,Moderate Difficulties
Infant,Home,4-6 months,BOD,18,62,88,4,6,Moderate Difficulties
Infant,Home,4-6 months,BOD,17,59,82,4,6,Typical
Infant,Home,4-6 months,BOD,16,57,76,4,6,Typical
Infant,Home,4-6 months,BOD,15,54,66,4,6,Typical
Infant,Home,4-6 months,BOD,14,50,50,4,6,Typical
Infant,Home,4-6 months,BOD,13,46,34,4,6,Typical
Infant,Home,4-6 months,BOD,12,40,16,4,6,Typical
Infant,Home,4-6 months,BOD,11,40,16,4,6,Typical
Infant,Home,4-6 months,BOD,10,40,16,4,6,Typical
Infant,Home,4-6 months,BAL,40,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,39,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,38,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,37,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,36,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,35,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,34,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,33,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,32,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,31,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,30,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,29,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,28,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,27,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,26,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,25,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,24,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,23,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,22,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,BAL,21,68,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,BAL,20,67,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,BAL,19,64,92,4,6,Moderate Difficulties
Infant,Home,4-6 months,BAL,18,61,86,4,6,Moderate Difficulties
Infant,Home,4-6 months,BAL,17,59,82,4,6,Typical
Infant,Home,4-6 months,BAL,16,56,73,4,6,Typical
Infant,Home,4-6 months,BAL,15,52,58,4,6,Typical
Infant,Home,4-6 months,BAL,14,49,46,4,6,Typical
Infant,Home,4-6 months,BAL,13,46,34,4,6,Typical
Infant,Home,4-6 months,BAL,12,43,24,4,6,Typical
Infant,Home,4-6 months,BAL,11,40,16,4,6,Typical
Infant,Home,4-6 months,BAL,10,40,16,4,6,Typical
Infant,Home,4-6 months,ST,240,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,239,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,238,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,237,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,236,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,235,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,234,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,233,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,232,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,231,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,230,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,229,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,228,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,227,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,226,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,225,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,224,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,223,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,222,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,221,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,220,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,219,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,218,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,217,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,216,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,215,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,214,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,213,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,212,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,211,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,210,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,209,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,208,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,207,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,206,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,205,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,204,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,203,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,202,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,201,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,200,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,199,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,198,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,197,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,196,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,195,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,194,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,193,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,192,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,191,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,190,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,189,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,188,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,187,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,186,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,185,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,184,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,183,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,182,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,181,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,180,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,179,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,178,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,177,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,176,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,175,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,174,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,173,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,172,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,171,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,170,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,169,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,168,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,167,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,166,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,165,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,164,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,163,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,162,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,161,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,160,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,159,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,158,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,157,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,156,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,155,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,154,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,153,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,152,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,151,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,150,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,149,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,148,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,147,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,146,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,145,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,144,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,143,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,142,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,141,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,140,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,139,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,138,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,137,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,136,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,135,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,134,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,133,73,99,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,132,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,131,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,130,71,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,129,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,128,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,127,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,126,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,125,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,124,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,123,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,ST,122,68,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,121,68,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,120,68,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,119,68,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,118,67,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,117,67,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,116,67,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,115,67,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,114,67,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,113,66,95,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,112,66,95,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,111,66,95,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,110,65,93,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,109,65,93,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,108,65,93,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,107,65,93,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,106,64,92,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,105,64,92,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,104,64,92,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,103,63,90,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,102,61,86,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,101,60,84,4,6,Moderate Difficulties
Infant,Home,4-6 months,ST,100,59,82,4,6,Typical
Infant,Home,4-6 months,ST,99,59,82,4,6,Typical
Infant,Home,4-6 months,ST,98,58,79,4,6,Typical
Infant,Home,4-6 months,ST,97,58,79,4,6,Typical
Infant,Home,4-6 months,ST,96,57,76,4,6,Typical
Infant,Home,4-6 months,ST,95,56,73,4,6,Typical
Infant,Home,4-6 months,ST,94,56,73,4,6,Typical
Infant,Home,4-6 months,ST,93,55,69,4,6,Typical
Infant,Home,4-6 months,ST,92,54,66,4,6,Typical
Infant,Home,4-6 months,ST,91,53,62,4,6,Typical
Infant,Home,4-6 months,ST,90,52,58,4,6,Typical
Infant,Home,4-6 months,ST,89,50,50,4,6,Typical
Infant,Home,4-6 months,ST,88,49,46,4,6,Typical
Infant,Home,4-6 months,ST,87,47,38,4,6,Typical
Infant,Home,4-6 months,ST,86,45,31,4,6,Typical
Infant,Home,4-6 months,ST,85,44,27,4,6,Typical
Infant,Home,4-6 months,ST,84,43,24,4,6,Typical
Infant,Home,4-6 months,ST,83,42,21,4,6,Typical
Infant,Home,4-6 months,ST,82,41,18,4,6,Typical
Infant,Home,4-6 months,ST,81,41,18,4,6,Typical
Infant,Home,4-6 months,ST,80,40,16,4,6,Typical
Infant,Home,4-6 months,ST,79,40,16,4,6,Typical
Infant,Home,4-6 months,ST,78,40,16,4,6,Typical
Infant,Home,4-6 months,ST,77,40,16,4,6,Typical
Infant,Home,4-6 months,ST,76,40,16,4,6,Typical
Infant,Home,4-6 months,ST,75,40,16,4,6,Typical
Infant,Home,4-6 months,ST,74,40,16,4,6,Typical
Infant,Home,4-6 months,ST,73,40,16,4,6,Typical
Infant,Home,4-6 months,ST,72,40,16,4,6,Typical
Infant,Home,4-6 months,ST,71,40,16,4,6,Typical
Infant,Home,4-6 months,ST,70,40,16,4,6,Typical
Infant,Home,4-6 months,ST,69,40,16,4,6,Typical
Infant,Home,4-6 months,ST,68,40,16,4,6,Typical
Infant,Home,4-6 months,ST,67,40,16,4,6,Typical
Infant,Home,4-6 months,ST,66,40,16,4,6,Typical
Infant,Home,4-6 months,ST,65,40,16,4,6,Typical
Infant,Home,4-6 months,ST,64,40,16,4,6,Typical
Infant,Home,4-6 months,ST,63,40,16,4,6,Typical
Infant,Home,4-6 months,ST,62,40,16,4,6,Typical
Infant,Home,4-6 months,ST,61,40,16,4,6,Typical
Infant,Home,4-6 months,ST,60,40,16,4,6,Typical
Infant,Home,4-6 months,PLN,40,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,39,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,38,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,37,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,36,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,35,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,34,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,33,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,32,72,99,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,31,70,98,4,6,Severe Difficulties
Infant,Home,4-6 months,PLN,30,68,96,4,6,Moderate Difficulties
Infant,Home,4-6 months,PLN,29,65,93,4,6,Moderate Difficulties
Infant,Home,4-6 months,PLN,28,63,90,4,6,Moderate Difficulties
Infant,Home,4-6 months,PLN,27,62,88,4,6,Moderate Difficulties
Infant,Home,4-6 months,PLN,26,60,84,4,6,Moderate Difficulties
Infant,Home,4-6 months,PLN,25,59,82,4,6,Typical
Infant,Home,4-6 months,PLN,24,58,79,4,6,Typical
Infant,Home,4-6 months,PLN,23,57,76,4,6,Typical
Infant,Home,4-6 months,PLN,22,56,73,4,6,Typical
Infant,Home,4-6 months,PLN,21,55,69,4,6,Typical
Infant,Home,4-6 months,PLN,20,54,66,4,6,Typical
Infant,Home,4-6 months,PLN,19,53,62,4,6,Typical
Infant,Home,4-6 months,PLN,18,52,58,4,6,Typical
Infant,Home,4-6 months,PLN,17,51,54,4,6,Typical
Infant,Home,4-6 months,PLN,16,50,50,4,6,Typical
Infant,Home,4-6 months,PLN,15,49,46,4,6,Typical
Infant,Home,4-6 months,PLN,14,48,42,4,6,Typical
Infant,Home,4-6 months,PLN,13,47,38,4,6,Typical
Infant,Home,4-6 months,PLN,12,46,34,4,6,Typical
Infant,Home,4-6 months,PLN,11,45,31,4,6,Typical
Infant,Home,4-6 months,PLN,10,40,16,4,6,Typical
Infant,Home,4-6 months,SOC,40,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,SOC,39,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,SOC,38,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,SOC,37,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,SOC,36,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,SOC,35,77,99,4,6,Severe Difficulties
Infant,Home,4-6 months,SOC,34,73,99,4,6,Severe Difficulties
