IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,QT1,QT2,QT4,QT5,QT6,QT7,QT10,QT11,QT12,QT13,QT14,QT15,QT17,QT18,QT19,QT20,QT21,QT23,QT25,QT26,QT27,QT28,QT30,QT31,QT32,QT33,QT34,QT35,QT37,QT39,QT41,QT43,QT45,QT46,QT47,QT48,QT49,QT50,QT51,QT54,QT55,QT56,QT57,QT60,QT62,QT65,QT66,QT67,QT68,QT69,QT71,QT72,QT73,QT74,QT75,QT76,QT77,QT78,QT79,QT81,QT83,QT85,QT86,QT87,QT89,QT91,QT92,QT93,QT94,QT95,QT96,QT97,QT98,QT100,QT101,QT103,QT105,QT106,QT107,QT108,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
700219,Qual,4,Female,High school graduate (including GED),Hispanic,south,3,3,1,1,1,1,1,1,3,3,3,1,2,4,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,3,2,1,1,1,1,1,2,4,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,03.5 to 10 mo,86,18,18,14,13,16,12,13,12
700220,Qual,6,Female,Some college or associate degree,White,northeast,2,3,1,3,3,1,2,1,2,2,2,3,3,2,1,4,2,1,3,2,2,2,2,1,3,2,2,1,2,4,1,4,2,3,2,1,2,4,2,1,2,3,2,2,1,2,3,4,3,1,4,3,1,3,1,2,2,1,3,2,1,3,1,3,2,2,2,1,3,2,2,2,2,3,2,1,2,3,3,4,03.5 to 10 mo,131,20,23,21,22,23,22,20,24
700221,Qual,8,Male,Some college or associate degree,White,midwest,3,3,2,2,2,1,1,1,2,3,1,1,2,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,3,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,3,3,2,1,1,1,2,03.5 to 10 mo,81,20,13,14,13,18,10,13,16
700222,Qual,7,Female,Some college or associate degree,White,midwest,2,3,2,3,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,03.5 to 10 mo,75,19,11,13,13,15,10,13,11
700223,Qual,5,Female,High school graduate (including GED),White,midwest,2,1,1,1,2,1,4,4,4,4,3,4,4,4,4,4,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,86,24,36,10,10,10,10,10,10
700224,Qual,8,Male,Some college or associate degree,White,midwest,2,2,1,1,1,1,1,3,2,2,1,1,2,3,1,2,2,1,1,2,2,2,1,2,3,3,2,1,2,2,3,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,3,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,03.5 to 10 mo,95,16,16,20,14,17,13,15,13
700225,Qual,5,Male,Some college or associate degree,Hispanic,west,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,4,1,1,2,1,1,1,4,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,03.5 to 10 mo,77,10,11,12,17,13,10,14,11
700226,Qual,7,Female,Some college or associate degree,Black,south,1,1,1,1,1,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,2,1,4,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,107,22,39,17,13,10,12,16,10
700227,Qual,8,Male,Some college or associate degree,White,midwest,1,1,1,1,1,1,3,2,4,4,1,1,2,3,1,2,1,1,1,2,2,3,2,1,2,3,1,1,2,2,3,2,1,3,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,3,1,1,1,1,1,03.5 to 10 mo,89,19,15,19,17,14,11,13,13
700228,Qual,7,Female,Some college or associate degree,White,west,2,2,2,2,2,2,2,2,2,2,1,1,2,4,2,2,2,1,2,3,2,2,2,4,3,3,2,1,2,3,3,1,2,3,1,1,4,2,1,1,2,2,1,2,2,3,1,2,3,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,2,03.5 to 10 mo,110,20,20,24,19,20,13,14,15
700229,Qual,5,Female,Some college or associate degree,White,midwest,1,2,1,2,3,2,2,2,1,1,2,1,1,3,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,3,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,2,1,2,1,2,2,1,2,3,1,1,1,1,2,03.5 to 10 mo,87,17,16,13,14,17,11,16,16
700230,Qual,8,Male,High school graduate (including GED),MultiRacial,west,1,1,1,1,3,1,1,1,3,3,1,1,1,4,1,2,2,1,2,2,1,1,2,4,2,2,1,2,1,2,2,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,3,1,2,1,2,2,2,1,1,1,1,2,03.5 to 10 mo,93,16,17,18,14,15,13,16,15
700231,Qual,4,Female,High school graduate (including GED),Hispanic,south,1,1,1,1,3,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,03.5 to 10 mo,67,16,10,10,13,14,10,10,11
700232,Qual,5,Female,Some college or associate degree,White,midwest,2,2,2,3,3,1,1,1,4,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,03.5 to 10 mo,73,21,12,12,12,13,12,12,12
700233,Qual,6,Male,High school graduate (including GED),White,south,1,1,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,03.5 to 10 mo,71,18,20,10,10,10,10,11,11
700235,Qual,5,Female,High school graduate (including GED),Hispanic,south,1,1,1,2,4,1,1,1,4,3,3,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,03.5 to 10 mo,75,19,16,11,11,15,10,12,11
700236,Qual,8,Female,High school graduate (including GED),MultiRacial,south,2,2,2,1,1,1,2,1,3,3,2,2,2,3,1,2,3,1,2,4,1,2,1,1,3,1,4,1,2,3,1,1,4,4,1,2,1,1,1,2,1,2,1,1,1,2,3,2,2,2,4,3,3,4,1,2,2,1,3,1,2,2,2,3,2,2,2,1,2,3,4,3,3,3,4,4,3,4,3,3,03.5 to 10 mo,121,18,22,19,18,17,24,21,34
700237,Qual,8,Male,Some college or associate degree,White,midwest,1,3,2,1,2,2,1,2,2,2,1,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,03.5 to 10 mo,80,18,13,17,12,11,13,14,14
700238,Qual,7,Male,Did not complete high school (no diploma),White,northeast,1,1,1,1,4,1,1,3,3,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,4,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,3,1,2,1,2,1,2,1,2,1,2,2,1,1,03.5 to 10 mo,84,18,15,15,13,14,12,15,15
700239,Qual,5,Female,Some college or associate degree,Black,west,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,67,13,10,10,10,15,10,12,10
700240,Qual,4,Male,Some college or associate degree,Hispanic,northeast,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,65,12,11,10,10,13,10,11,10
700241,Qual,4,Female,Some college or associate degree,MultiRacial,midwest,3,2,1,2,3,1,2,2,3,3,2,2,1,2,3,2,2,2,2,3,3,1,2,3,1,2,2,1,4,2,2,1,2,3,2,1,2,2,1,1,3,4,3,2,2,1,1,3,3,1,1,2,1,1,1,1,1,1,2,1,1,3,2,1,2,2,1,1,2,2,2,2,3,2,2,1,2,2,2,2,03.5 to 10 mo,111,22,21,21,17,23,12,17,20
700242,Qual,6,Female,Some college or associate degree,White,midwest,1,2,1,2,1,1,1,1,2,2,1,2,2,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,1,1,1,1,2,2,2,1,1,2,3,3,1,1,1,1,2,2,1,1,2,1,2,3,1,1,1,2,1,1,1,1,4,2,4,3,1,2,1,1,2,2,1,2,2,1,03.5 to 10 mo,95,14,16,11,16,16,16,20,15
700243,Qual,7,Male,Some college or associate degree,White,south,1,2,1,1,1,2,2,1,3,3,2,2,1,3,1,2,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,3,1,2,1,1,1,1,2,3,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,2,3,1,2,2,2,2,03.5 to 10 mo,89,17,17,16,14,17,12,13,19
700244,Qual,7,Female,High school graduate (including GED),White,west,1,2,1,1,2,1,1,1,4,4,2,4,1,4,2,2,1,1,2,2,2,2,2,3,2,2,3,1,1,3,2,2,1,3,1,2,1,1,1,2,1,4,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,2,1,3,2,2,2,2,1,2,3,03.5 to 10 mo,104,18,21,21,16,17,13,16,20
700245,Qual,9,Female,Some college or associate degree,Hispanic,northeast,1,2,1,1,1,1,1,2,3,3,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,4,1,1,1,1,1,2,1,1,1,1,1,03.5 to 10 mo,83,16,14,15,13,13,13,15,11
700247,Qual,5,Male,High school graduate (including GED),White,south,1,1,1,1,3,1,1,2,3,4,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,64,18,13,11,10,10,10,10,10
700248,Qual,6,Male,High school graduate (including GED),Hispanic,west,2,3,1,3,3,2,1,1,3,2,3,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,71,21,14,13,13,11,10,10,10
700249,Qual,6,Female,High school graduate (including GED),White,south,1,1,1,1,2,1,1,3,3,1,1,1,2,4,1,2,1,1,1,3,1,2,2,4,2,1,1,1,2,1,2,2,1,4,1,1,1,1,2,1,2,1,1,2,1,3,2,4,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,3,1,2,2,1,1,1,4,4,1,1,4,4,2,03.5 to 10 mo,97,15,17,17,16,19,12,16,23
700250,Qual,8,Male,Some college or associate degree,White,south,3,3,1,3,3,3,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,2,1,1,2,1,1,1,4,1,1,1,2,1,1,1,4,2,1,2,1,1,1,3,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,03.5 to 10 mo,82,22,12,13,15,16,13,13,13
700251,Qual,8,Male,High school graduate (including GED),Black,south,1,1,1,1,1,1,1,1,3,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,81,14,16,13,10,19,10,13,10
700252,Qual,10,Female,High school graduate (including GED),White,south,1,1,1,1,1,1,1,1,4,4,4,1,1,4,2,2,1,1,2,1,2,1,1,4,2,1,1,1,1,1,2,2,1,4,2,1,1,2,1,2,1,3,1,1,1,4,1,1,3,4,1,1,1,1,1,2,2,1,4,1,1,2,3,1,1,1,2,1,2,1,1,1,1,3,2,1,1,1,1,1,03.5 to 10 mo,102,16,19,15,18,20,15,15,13
700253,Qual,4,Male,High school graduate (including GED),White,midwest,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,62,15,10,11,11,10,10,10,10
700254,Qual,4,Female,High school graduate (including GED),White,south,1,2,1,2,2,2,2,2,3,3,2,2,2,2,3,3,1,1,2,2,2,2,2,1,4,3,1,1,2,4,1,1,2,3,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,1,2,3,1,2,3,2,4,2,3,1,03.5 to 10 mo,96,20,20,22,14,14,12,14,23
700255,Qual,4,Male,High school graduate (including GED),White,west,3,3,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,3,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,1,1,03.5 to 10 mo,98,21,16,17,15,16,17,17,15
700256,Qual,5,Male,High school graduate (including GED),White,northeast,1,2,1,2,2,1,1,2,3,3,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,3,2,2,1,2,1,2,2,2,1,2,2,2,2,2,3,2,2,2,2,1,1,2,1,2,2,1,2,3,2,2,1,2,4,2,2,1,2,2,2,2,2,2,2,1,1,2,03.5 to 10 mo,115,18,21,18,19,20,16,21,18
700257,Qual,7,Male,High school graduate (including GED),White,south,2,2,2,2,2,1,1,2,2,2,1,2,2,3,2,1,2,2,1,4,1,2,2,2,4,3,2,1,2,2,1,2,2,3,1,1,1,1,1,2,2,1,2,3,2,2,1,2,2,1,3,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,3,1,3,2,2,2,2,2,1,1,2,2,2,4,03.5 to 10 mo,111,18,20,21,15,18,18,19,20
700258,Qual,9,Male,High school graduate (including GED),White,south,3,3,3,3,3,2,1,2,2,2,1,1,2,4,1,2,1,1,2,1,1,2,3,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,2,2,2,1,1,2,1,2,1,1,1,1,2,1,2,3,2,2,1,2,2,1,2,1,1,1,1,1,1,03.5 to 10 mo,92,24,16,19,13,13,15,16,13
700259,Qual,9,Female,High school graduate (including GED),Hispanic,midwest,1,1,1,1,3,1,1,2,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,4,2,1,1,3,1,2,2,1,1,1,2,2,1,1,1,3,2,2,3,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,3,1,2,2,1,1,1,2,1,1,2,1,1,3,03.5 to 10 mo,91,15,12,17,15,18,13,16,14
700262,Qual,7,Female,Some college or associate degree,Hispanic,south,1,2,1,3,3,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,4,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,03.5 to 10 mo,78,18,12,17,13,14,10,12,11
700263,Qual,7,Female,Some college or associate degree,White,midwest,3,2,1,2,3,1,1,1,3,3,3,3,2,3,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,3,1,1,2,3,1,1,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,3,1,2,1,2,2,2,2,1,1,1,1,3,1,3,3,1,2,1,2,2,1,1,1,1,3,2,2,2,03.5 to 10 mo,104,20,22,18,17,13,17,17,17
