IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,q0011,q0012,q0013,q0014,q0015,q0016,q0017,q0018,q0019,q0022,q0024,q0025,q0026,q0027,q0028,q0029,q0032,q0034,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0052,q0054,q0055,q0056,q0061,q0062,q0063,q0066,q0067,q0068,q0069,q0071,q0073,q0075,q0076,q0077,q0079,q0080,q0081,q0082,q0086,q0087,q0088,q0089,q0091,q0093,q0095,q0096,q0097,q0098,q0100,q0101,q0102,q0103,q0104,q0105,q0106,q0107,q0110,q0112,q0114,q0117,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
105024,SM,21,Female,Bachelor's degree or higher,White,west,2,1,1,1,2,2,2,1,1,1,2,2,1,2,1,1,2,3,2,2,1,2,4,1,2,2,1,2,1,1,1,1,1,3,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,3,2,2,2,3,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,1,1,3,2,1,21 to 31.5 mo,98,14,18,17,13,16,19,15,14
105033,SM,15,Male,Bachelor's degree or higher,White,midwest,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,09.5 to 20 mo,75,16,12,11,13,11,14,14,11
105037,SM,21,Male,Bachelor's degree or higher,White,midwest,2,2,2,1,1,3,2,3,2,2,1,2,1,3,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,21 to 31.5 mo,82,20,14,14,11,14,15,14,13
105045,SM,13,Female,Bachelor's degree or higher,Hispanic,south,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,09.5 to 20 mo,70,12,12,11,10,11,13,13,10
105046,SM,24,Female,Bachelor's degree or higher,MultiRacial,midwest,1,3,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,63,16,11,10,11,10,11,10,10
105047,SM,24,Male,Bachelor's degree or higher,MultiRacial,midwest,1,3,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,65,17,10,10,11,11,11,12,10
105048,SM,24,Male,Bachelor's degree or higher,MultiRacial,midwest,3,4,2,1,3,4,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,21 to 31.5 mo,69,27,10,11,12,13,13,10,13
105052,SM,29,Male,Some college or associate degree,White,midwest,1,1,1,1,1,2,3,1,1,2,3,2,3,2,1,1,1,1,1,2,3,2,2,3,2,3,1,2,2,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,91,14,17,21,15,16,11,11,10
105053,SM,23,Female,Bachelor's degree or higher,White,midwest,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,3,2,1,1,4,4,1,3,1,1,1,1,21 to 31.5 mo,74,17,14,11,12,10,12,15,18
105059,SM,19,Male,Bachelor's degree or higher,White,midwest,2,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,09.5 to 20 mo,70,15,10,11,13,10,14,12,11
105074,SM,16,Male,Bachelor's degree or higher,White,northeast,1,2,1,1,2,2,2,1,2,2,1,3,1,2,1,1,1,3,2,1,2,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,09.5 to 20 mo,84,16,16,13,12,13,17,13,11
105081,SM,11,Female,Bachelor's degree or higher,MultiRacial,west,2,3,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,3,2,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,09.5 to 20 mo,84,20,13,15,15,10,17,14,17
105083,SM,26,Male,Bachelor's degree or higher,White,midwest,2,2,1,1,2,2,1,3,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,3,1,1,1,1,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,2,3,1,1,1,2,1,1,1,2,2,2,21 to 31.5 mo,88,16,14,15,14,17,14,14,14
105085,SM,16,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,1,2,3,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,1,1,2,1,1,1,1,09.5 to 20 mo,79,14,12,13,16,13,13,12,13
105089,SM,11,Female,Some college or associate degree,White,midwest,1,1,1,1,1,2,2,1,2,3,3,2,3,2,1,2,2,2,3,1,2,2,2,1,2,2,1,3,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,4,1,1,1,2,4,1,1,3,1,1,3,1,1,3,2,1,3,2,2,3,4,4,2,3,4,3,3,3,09.5 to 20 mo,101,15,21,18,13,12,19,18,31
105090,SM,11,Female,Bachelor's degree or higher,MultiRacial,midwest,2,2,1,1,1,3,3,2,1,3,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,1,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,3,2,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,09.5 to 20 mo,99,19,15,19,18,13,15,19,19
105100,SM,10,Female,Bachelor's degree or higher,Black,midwest,1,2,1,2,2,2,1,2,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,3,2,2,1,1,1,1,1,1,09.5 to 20 mo,74,18,12,11,11,10,15,15,15
105114,SM,12,Male,Some college or associate degree,White,midwest,1,3,1,1,2,2,2,1,2,1,2,3,1,3,1,1,2,2,2,2,3,1,2,1,1,2,2,3,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2,3,1,2,1,2,2,2,1,2,1,2,2,1,1,2,1,1,2,2,1,1,3,2,2,2,1,1,1,1,09.5 to 20 mo,101,16,19,18,16,15,18,15,15
105116,SM,25,Female,Some college or associate degree,White,midwest,1,1,1,1,1,2,2,1,1,1,2,3,1,2,1,1,1,2,4,1,4,1,2,3,2,1,1,1,2,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,21 to 31.5 mo,92,12,18,18,15,11,17,13,11
106003,SM,28,Male,Bachelor's degree or higher,Hispanic,midwest,1,1,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,21 to 31.5 mo,90,13,15,16,18,10,15,16,13
106004,SM,18,Male,Bachelor's degree or higher,White,midwest,1,1,1,1,1,1,3,1,1,1,1,2,1,3,1,1,1,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,3,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,3,2,3,1,1,2,2,1,4,2,2,1,1,2,2,1,1,2,3,2,2,1,2,2,2,09.5 to 20 mo,94,12,16,12,16,12,19,19,18
106006,SM,21,Female,Bachelor's degree or higher,Hispanic,midwest,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,21 to 31.5 mo,77,12,13,13,13,12,12,14,17
106013,SM,29,Male,Bachelor's degree or higher,White,midwest,2,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,71,15,11,16,11,11,12,10,10
106018,SM,30,Male,Bachelor's degree or higher,White,midwest,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,67,16,10,10,11,13,13,10,10
118010,SM,17,Male,Some college or associate degree,White,south,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,2,09.5 to 20 mo,82,11,12,13,14,13,16,14,13
118020,SM,15,Female,Bachelor's degree or higher,White,south,2,2,2,1,1,2,2,2,3,3,1,3,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,3,2,2,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,09.5 to 20 mo,91,20,15,13,16,13,17,17,17
118022,SM,29,Male,High school graduate (including GED),Hispanic,south,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,61,13,10,10,10,10,10,11,10
118025,SM,18,Male,Bachelor's degree or higher,AmericanIndAlaskanNat,south,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,4,2,2,3,1,1,1,2,1,1,3,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,4,2,1,1,1,2,1,1,2,1,1,2,3,3,1,1,1,1,1,2,1,1,2,1,09.5 to 20 mo,92,14,13,18,16,10,18,17,12
118028,SM,27,Female,Some college or associate degree,White,south,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,21 to 31.5 mo,76,10,13,13,14,15,10,11,11
118034,SM,20,Male,Bachelor's degree or higher,White,northeast,2,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,09.5 to 20 mo,79,16,14,15,13,14,12,11,12
118043,SM,26,Male,Bachelor's degree or higher,White,northeast,1,1,3,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,70,13,12,10,10,12,16,10,10
118044,SM,25,Male,High school graduate (including GED),White,northeast,2,2,1,1,1,3,3,1,1,2,2,2,1,1,1,1,4,2,3,1,1,1,1,1,1,1,3,3,1,1,1,4,4,3,3,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,4,4,4,1,4,1,3,1,2,1,4,3,1,4,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,118,17,18,14,23,13,27,23,10
118052,SM,25,Female,Some college or associate degree,White,south,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,72,10,10,15,11,10,14,12,10
118054,SM,24,Male,Bachelor's degree or higher,White,south,1,1,2,1,1,2,2,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,70,14,13,15,10,10,11,11,11
118055,SM,19,Male,Some college or associate degree,White,south,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,1,1,1,2,3,2,1,1,1,2,1,2,1,4,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,09.5 to 20 mo,86,15,13,15,17,15,13,13,12
118058,SM,17,Female,Bachelor's degree or higher,White,south,2,2,1,1,1,2,1,1,2,2,1,2,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,09.5 to 20 mo,87,15,16,12,17,12,17,13,12
118067,SM,17,Male,Bachelor's degree or higher,White,,2,1,2,1,2,2,3,1,1,1,2,3,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,09.5 to 20 mo,80,16,16,16,12,10,14,12,10
118071,SM,15,Female,Bachelor's degree or higher,White,northeast,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,3,1,1,2,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,2,3,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,09.5 to 20 mo,89,14,15,13,16,16,13,16,10
118074,SM,29,Female,Some college or associate degree,White,south,2,2,1,1,2,2,1,1,1,1,1,3,1,3,1,1,1,2,2,3,3,1,3,2,2,2,1,3,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,100,14,18,20,17,16,14,15,10
118075,SM,11,Female,Bachelor's degree or higher,White,south,2,3,1,1,1,2,2,1,2,2,1,3,1,1,2,2,1,3,2,2,1,2,2,1,1,2,1,3,2,1,1,1,2,3,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,3,1,2,1,2,4,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,4,4,2,2,2,2,2,2,09.5 to 20 mo,99,17,18,16,16,14,19,16,23
118079,SM,11,Male,Some college or associate degree,White,midwest,1,4,1,1,2,2,2,1,4,2,2,4,1,2,1,1,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,3,2,2,1,1,1,1,1,1,09.5 to 20 mo,79,20,18,12,13,10,13,13,14
118081,SM,24,Female,Bachelor's degree or higher,Black,south,2,2,3,1,2,2,3,1,3,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,21 to 31.5 mo,77,21,15,12,14,11,13,12,10
118082,SM,11,Male,Some college or associate degree,White,midwest,1,4,2,1,3,1,2,1,3,1,2,4,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,2,09.5 to 20 mo,76,19,17,12,12,10,14,11,15
119001,SM,20,Female,Did not complete high school (no diploma),Black,south,1,1,1,1,1,2,2,1,1,1,2,4,1,3,1,2,1,1,1,3,3,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,09.5 to 20 mo,83,12,19,14,12,11,13,14,13
119002,SM,10,Male,Bachelor's degree or higher,Black,south,1,4,1,1,1,1,1,1,4,4,1,1,1,3,1,1,1,3,3,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,09.5 to 20 mo,75,19,17,13,10,12,13,10,16
119006,SM,14,Female,High school graduate (including GED),Black,south,1,1,1,1,1,1,3,1,3,3,1,4,1,4,1,1,1,1,2,3,4,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,09.5 to 20 mo,77,16,19,15,13,10,10,10,10
119026,SM,10,Male,Some college or associate degree,Black,south,4,4,1,1,1,1,3,1,3,4,1,3,2,2,2,3,1,4,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,3,1,1,2,2,2,3,3,2,2,2,2,1,2,4,3,4,4,3,4,1,4,4,4,09.5 to 20 mo,103,23,22,18,14,10,18,21,35
119085,SM,11,Male,Some college or associate degree,Black,south,2,4,1,1,2,3,3,1,4,4,1,4,1,3,1,1,1,4,2,3,1,1,2,2,2,2,1,3,2,2,1,1,3,4,1,4,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,4,1,2,3,1,2,1,3,1,2,4,3,1,2,1,1,1,1,2,4,4,2,3,2,2,1,1,09.5 to 20 mo,109,25,21,18,20,11,20,19,22
119087,SM,18,Female,Bachelor's degree or higher,Hispanic,south,2,2,2,2,2,3,3,2,2,2,2,2,1,3,1,2,1,2,2,2,2,2,3,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,2,2,3,3,2,2,2,2,1,1,2,2,2,3,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,09.5 to 20 mo,101,22,18,17,16,17,18,15,16
119107,SM,12,Male,High school graduate (including GED),White,south,2,2,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,3,1,3,2,1,1,1,1,1,1,1,3,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,1,1,2,3,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,09.5 to 20 mo,93,15,12,16,17,15,16,17,11
