CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,q0002_0001_0001,q0002_0001_0002,q0002_0001_0003,q0003_0001_0001,q0003_0001_0002,q0003_0001_0003,q0004,Gender,q0006,q0007,q0008,q0009_0001,q0009_0002,q0009_0003,q0009_0004,q0009_0005,q0009_0006,q0009_other,q0010,q0010_other,q0011_0001,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0024_0001,q0025_0001,q0026_0001,q0027_0001,q0028_0001,q0029_0001,count_total
Web Link 1,5327880245,94893521,04/13/2017 01:39:43 PM,04/13/2017 01:40:55 PM,96.249.234.74, , , , ,119060,04,13,2017,09,29,2006,10,Female,4,23455,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5328951208,94893521,04/14/2017 08:09:07 PM,04/14/2017 09:10:21 PM,24.254.192.155, , , , ,119073,04,14,2017,06,23,2011,5,Female,1,23703,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5341329503,94893521,04/27/2017 09:19:28 AM,04/19/2019 07:29:42 AM,24.155.30.147, , , , ,141102,04,27,2017,01,15,2009,8,Female,2,76643,No,American Indian/Alaska Native, , , ,White, , ,No, ,Frequently,Always,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5346808250,94893521,05/02/2017 05:19:03 AM,05/02/2017 08:29:48 AM,24.227.200.250, , , , ,141134,05,02,2016,10,06,2005,11,Female,5,76708,No, , , , ,White, , ,No, ,Always,Never,Always,Frequently,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5346825771,94893521,05/02/2017 08:38:46 AM,05/02/2017 08:40:42 AM,24.227.200.250, , , , ,141137,05,02,2017,03,24,2011,6,Female,K,76708,No, , , , ,White, , ,No, ,Frequently,Frequently,Always,Always,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,1
Web Link 1,5346932975,94893521,05/02/2017 08:41:31 AM,04/19/2019 07:30:02 AM,24.227.200.250, , , , ,141136,05,02,2017,02,16,2007,10,Female,4,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Frequently,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5349316750,94893521,05/04/2017 09:05:32 AM,05/04/2017 10:02:04 AM,24.155.30.147, , , , ,141149,05,04,2017,06,29,2009,7,Female,2,76657,No, , , , ,White, , ,No, ,Frequently,Never,Always,Frequently,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5349388285,94893521,05/04/2017 10:02:38 AM,05/04/2017 10:05:52 AM,24.155.30.147, , , , ,141161,05,04,2017,06,25,2009,7,Female,2,76707,No, , , , ,White, , ,No, ,Occasionally,Never,Frequently,Frequently,Never,Never,Occasionally,Never,Frequently,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,1
Web Link 1,5350349593,94893521,05/05/2017 08:34:14 AM,05/05/2017 08:38:15 AM,24.155.30.147, , , , ,141163,05,05,2017,12,25,2008,8,Male,2,76657,No, , , , ,White, , ,No, ,Always,Never,Always,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,1
Web Link 1,5350353396,94893521,05/05/2017 08:38:26 AM,05/05/2017 08:40:50 AM,24.155.30.147, , , , ,141166,05,05,2017,09,20,2008,8,Female,2,76643,No, , , , ,White, , ,No, ,Frequently,Never,Always,Frequently,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5350356872,94893521,05/05/2017 08:41:00 AM,05/05/2017 08:44:10 AM,24.155.30.147, , , , ,141167,05,05,2017,12,29,2008,8,Male,2,76701,No, , , , ,White, , ,No, ,Always,Always,Always,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5350494084,94893521,05/05/2017 08:45:47 AM,05/05/2017 10:43:07 AM,24.155.30.147, , , , ,141168,05,05,2017,04,11,2008,9,Male,2,76710,No, , , , ,White, , ,No, ,Occasionally,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Occasionally,Frequently,Frequently,1
Web Link 1,5354605343,94893521,05/10/2017 10:05:52 AM,05/10/2017 10:16:43 AM,24.155.30.147, , , , ,141174,05,10,2017,01,22,2009,8,Female,2,76633,No, , , , ,White, , ,No, ,Always,Never,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5354611961,94893521,05/10/2017 10:16:57 AM,05/10/2017 10:21:28 AM,24.155.30.147, , , , ,141175,05,10,2017,03,04,2009,8,Male,2,76708,No, , , , ,White, , ,No, ,Frequently,Never,Frequently,Frequently,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,1
Web Link 1,5354746422,94893521,05/10/2017 12:21:44 PM,05/10/2017 12:24:11 PM,24.227.200.250, , , , ,141135,05,10,2017,07,11,2008,8,Male,3,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,1
Web Link 1,5355343874,94893521,05/11/2017 05:21:16 AM,05/11/2017 05:23:53 AM,24.227.200.250, , , , ,141145,05,11,2017,06,06,2006,10,Male,5,76708,No, , , , ,White, , ,No, ,Always,Frequently,Always,Frequently,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,1
Web Link 1,5355443292,94893521,05/11/2017 07:05:03 AM,05/11/2017 07:12:34 AM,24.227.200.250, , , , ,141140,05,11,2017,09,16,2008,8,Male,2,76708,No, , , , ,White, , ,No, ,Always,Frequently,Always,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5355651298,94893521,05/11/2017 10:06:56 AM,05/11/2017 10:09:56 AM,24.227.200.250, , , , ,141144,05,11,2017,05,16,2006,10,Female,5,76708,Yes, , , , , ,Other (please specify),hispanic,No, ,Always,Frequently,Always,Always,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5355707270,94893521,05/11/2017 11:01:53 AM,04/19/2019 07:31:45 AM,24.227.200.250, , , , ,141139,05,11,2017,01,25,2011,6,Female,K,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5355722468,94893521,05/11/2017 11:16:02 AM,04/19/2019 07:33:48 AM,24.227.200.250, , , , ,141142,05,11,2017,09,29,2006,10,Male,4,76708,No, , , , ,White, , ,No, ,Always,Frequently,Always,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5355740444,94893521,05/11/2017 11:27:23 AM,05/11/2017 11:35:15 AM,24.227.200.250, , , , ,141143,05,11,2017,09,30,2006,10,Female,4,76705,Yes, , , , , ,Other (please specify),hispanic,No, ,Always,Always,Always,Always,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5355744745,94893521,05/11/2017 11:37:35 AM,05/11/2017 11:40:04 AM,24.227.200.250, , , , ,141141,05,11,2017,04,29,2007,10,Male,4,76708,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5355799637,94893521,05/11/2017 12:31:44 PM,05/11/2017 12:39:47 PM,24.227.200.250, , , , ,141147,05,11,2017,09,01,2006,10,Female,5,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5356507569,94893521,05/12/2017 08:29:28 AM,05/12/2017 08:32:22 AM,24.155.30.147, , , , ,141177,05,12,2017,07,19,2008,8,Male,2,76712,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,1
Web Link 1,5359503092,94893521,05/16/2017 11:41:34 AM,05/16/2017 11:44:46 AM,24.155.30.147, , , , ,141184,05,16,2017,03,24,2009,8,Female,2,76706,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360397249,94893521,05/17/2017 10:24:32 AM,05/17/2017 10:31:12 AM,204.186.115.14, , , , ,144033,05,17,2017,07,04,2009,7,Male,2,08865,Yes, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,1
Web Link 1,5360401783,94893521,05/17/2017 10:31:39 AM,05/17/2017 10:34:47 AM,204.186.115.14, , , , ,144032,05,17,2017,08,31,2009,7,Male,2,08865,No, , , , ,White, , ,No, ,Frequently,Always,Always,Frequently,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,1
Web Link 1,5360404891,94893521,05/17/2017 10:35:24 AM,05/17/2017 10:37:35 AM,204.186.115.14, , , , ,144031,05,17,2017,03,16,2010,7,Female,1,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360407372,94893521,05/17/2017 10:37:53 AM,05/17/2017 10:40:16 AM,204.186.115.14, , , , ,144030,05,17,2017,04,28,2010,7,Male,1,08865,Yes, , , , ,White, , ,No, ,Frequently,Always,Always,Frequently,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,1
Web Link 1,5360409969,94893521,05/17/2017 10:40:34 AM,05/17/2017 10:42:33 AM,204.186.115.14, , , , ,144029,05,17,2017,02,23,2010,7,Male,1,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,1
Web Link 1,5360412605,94893521,05/17/2017 10:42:45 AM,05/17/2017 10:44:42 AM,204.186.115.14, , , , ,144028,05,17,2017,05,21,2009,7,Female,2,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360414583,94893521,05/17/2017 10:44:53 AM,04/19/2019 08:11:07 AM,204.186.115.14, , , , ,144027,05,17,2017,11,14,2008,8,Female,2,08865,Yes, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360416558,94893521,05/17/2017 10:47:04 AM,04/19/2019 08:10:45 AM,204.186.115.14, , , , ,144026,05,17,2017,03,17,2010,7,Male,1,08865,Yes, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360418602,94893521,05/17/2017 10:49:04 AM,05/17/2017 10:51:23 AM,204.186.115.14, , , , ,144020,05,17,2017,07,27,2010,6,Female,1,08865,No, , , , ,White, , ,No, ,Frequently,Frequently,Always,Always,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360421791,94893521,05/17/2017 10:51:46 AM,05/17/2017 10:53:32 AM,204.186.115.14, , , , ,144019,05,17,2017,08,28,2009,7,Female,2,08865,Yes, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360424376,94893521,05/17/2017 10:53:59 AM,05/17/2017 10:56:01 AM,204.186.115.14, , , , ,144018,05,17,2017,09,08,2009,7,Female,2,08865,No, , , , ,White, , ,No, ,Frequently,Always,Always,Always,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360430883,94893521,05/17/2017 10:56:56 AM,05/17/2017 11:02:27 AM,204.186.115.14, , , , ,144038,05,17,2017,05,04,2009,8,Male,2,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360432985,94893521,05/17/2017 11:02:35 AM,05/17/2017 11:04:32 AM,204.186.115.14, , , , ,144039,05,17,2017,04,22,2010,7,Male,1,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360435433,94893521,05/17/2017 11:04:46 AM,05/17/2017 11:18:38 AM,204.186.115.14, , , , ,144046,05,17,2017,11,22,2008,8,Male,2,08865,No, , ,Black/African American, ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360449855,94893521,05/17/2017 11:19:09 AM,05/17/2017 11:21:04 AM,204.186.115.14, , , , ,144047,05,17,2017,02,19,2009,8,Female,2,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5360686584,94893521,05/17/2017 04:14:29 PM,04/19/2019 07:41:55 AM,76.0.75.12, , , , ,141180,05,17,2017,05,18,2011,5,Female,K,76633,Yes, , , , ,White, , ,No, ,Frequently,Always,Always,Always,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,1
Web Link 1,5360693524,94893521,05/17/2017 04:27:05 PM,04/19/2019 07:41:35 AM,76.0.75.12, , , , ,141179,05,17,2017,05,18,2011,5,Male,K,76633,Yes, , , , ,White, , ,No, ,Frequently,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,1
Web Link 1,5361371661,94893521,05/18/2017 10:44:19 AM,05/18/2017 10:46:26 AM,24.227.200.250, , , , ,141146,05,18,2017,05,04,2009,8,Male,2,76708,No, , , , ,White, , ,No, ,Frequently,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5362003246,94893521,05/19/2017 06:03:20 AM,04/18/2019 02:12:37 PM,70.174.114.209, , , , ,119005,05,19,2017,11,11,2010,6,Female,K,23455,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5362375661,94893521,05/19/2017 12:55:03 PM,04/19/2019 07:40:41 AM,24.227.200.250, , , , ,141172,05,19,2017,07,09,2007,9,Female,4,76708,No, , , , ,White, , ,No, ,Always,Frequently,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5362378959,94893521,05/19/2017 01:00:30 PM,04/19/2019 07:39:07 AM,24.227.200.250, , , , ,141171,05,19,2017,04,27,2011,6,Female,K,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5362738040,94893521,05/20/2017 06:10:32 AM,04/19/2019 07:22:02 AM,70.174.114.209, , , , ,119068,05,20,2017,11,26,2006,10,Female,4,23701,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,1
Web Link 1,5362938687,94893521,05/20/2017 02:54:09 PM,05/22/2017 10:41:38 AM,70.174.114.209, , , , ,119066,05,20,2017,04,23,2007,9,Male,4,23666,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,1
Web Link 1,5362958148,94893521,05/20/2017 04:01:58 PM,04/19/2019 07:20:20 AM,70.174.114.209, , , , ,119065,05,20,2017,02,03,2009,8,Male,2,23666,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5363173652,94893521,05/21/2017 06:10:18 AM,05/22/2017 10:39:56 AM,70.174.114.209, , , , ,119051,05,05,2017,06,30,2007,9,Female,3,23707,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,1
Web Link 1,5363384432,94893521,05/21/2017 03:03:18 PM,04/19/2019 07:31:18 AM,76.0.75.12, , , , ,141138,05,21,2017,04,25,2007,10,Female,4,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Frequently,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5368674277,94893521,05/26/2017 10:37:51 AM,05/26/2017 10:41:06 AM,204.186.115.14, , , , ,144058,05,26,2017,08,31,2009,7,Female,2,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,1
Web Link 1,5374447722,94893521,06/04/2017 02:45:41 PM,04/19/2019 07:24:36 AM,70.161.95.89, , , , ,119076,06,04,2017,11,03,2004,12,Male,6,23707,No, , ,Black/African American, , , , ,No, ,Occasionally,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Occasionally,1
Web Link 1,5376038730,94893521,06/06/2017 01:54:06 PM,06/06/2017 01:56:37 PM,70.174.114.209, , , , ,119070,06,06,2017,02,20,2010,7,Female,1,23707,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5384930445,94893521,06/20/2017 02:10:35 PM,06/20/2017 02:13:43 PM,71.54.97.97, , , , ,141148,06,20,2017,05,27,2009,8,Female,2,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,1
Web Link 1,5388003850,94893521,06/26/2017 08:06:27 AM,04/18/2019 02:13:47 PM,216.54.120.67, , , , ,119015,06,26,2017,05,14,2005,12,Female,6,23704,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5388996614,94893521,06/27/2017 03:13:48 PM,04/19/2019 07:13:16 AM,24.254.192.155, , , , ,119030,06,27,2017,12,05,2009,7,Male,1,23707,Yes, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5389024438,94893521,06/27/2017 04:24:47 PM,06/27/2017 04:29:21 PM,24.254.192.155, , , , ,119033,06,27,2017,03,22,2010,7,Female,1,23707,No, , , , ,White, , ,No, ,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5389748761,94893521,06/28/2017 06:04:07 PM,06/28/2017 06:06:48 PM,108.11.161.4, , , , ,119008,06,28,2017,11,28,2004,12,Female,8,23430,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Always,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
