CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,q0002_0001_0001,q0002_0001_0002,q0002_0001_0003,q0003_0001_0001,q0003_0001_0002,q0003_0001_0003,q0004,Gender,q0006,q0007,q0008,q0009_0001,q0009_0002,q0009_0003,q0009_0004,q0009_0005,q0009_0006,q0009_other,q0010,q0010_other,q0011_0001,q0012_0001,q0013_0001,q0014_0001,q0015_0001,q0016_0001,q0017_0001,q0018_0001,q0019_0001,q0020_0001,q0021_0001,q0022_0001,q0023_0001,q0024_0001,q0025_0001,q0026_0001,q0027_0001,q0028_0001,q0029_0001,q0030_0001,q0031_0001,count_total
Web Link 1,5315312872,94897316,04/03/2017 03:22:25 PM,04/03/2017 03:32:29 PM,73.202.20.2, , , , ,134025,04,03,2017,10,08,2008,8,Male,2,94925,No, , , , ,White, , ,No, ,Occasionally,Always,Frequently,Occasionally,Occasionally,Occasionally,Never,Never,Never,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Never,Occasionally,Occasionally,1
Web Link 1,5317140021,94897316,04/04/2017 05:45:40 PM,04/04/2017 05:51:33 PM,73.202.20.2, , , , ,134026,04,04,2017,01,20,2009,8,Male,2,94939,No, , , , ,White, , ,No, ,Always,Always,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Occasionally,Frequently,Never,Occasionally,1
Web Link 1,5317177354,94897316,04/04/2017 06:30:55 PM,04/04/2017 06:41:43 PM,73.202.20.2, , , , ,134030,04,04,2017,10,09,2008,8,Female,3,94939,No, , , , ,White, , ,No, ,Frequently,Always,Frequently,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Frequently,Occasionally,Occasionally,1
Web Link 1,5327283319,94897316,04/13/2017 05:30:46 AM,04/13/2017 05:33:26 AM,96.249.234.74, , , , ,119061,04,13,2017,07,13,2009,7,Male,1,23455,No, , , , ,White, , ,No, ,Always,Always,Always,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Never,1
Web Link 1,5327286788,94897316,04/13/2017 05:33:54 AM,04/13/2017 05:35:59 AM,96.249.234.74, , , , ,119060,04,13,2017,09,29,2006,10,Female,4,23455,No, , , , ,White, , ,No, ,Always,Frequently,Always,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,1
Web Link 1,5328965912,94897316,04/14/2017 09:10:46 PM,04/14/2017 10:04:24 PM,24.254.192.155, , , , ,119073,04,15,2017,06,23,2011,5,Female,1,23703,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5341418053,94897316,04/27/2017 10:31:46 AM,04/19/2019 09:12:39 AM,24.155.30.147, , , , ,141102,04,27,2017,01,15,2009,8,Female,2,76643,No,American Indian/Alaska Native, , , ,White, , ,No, ,Frequently,Always,Frequently,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Always,Frequently,Never,Never,Never,1
Web Link 1,5349661789,94897316,05/04/2017 02:12:55 PM,05/04/2017 02:19:26 PM,24.155.30.147, , , , ,141167,05,04,2017,12,29,2008,8,Male,2,76701,No, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,1
Web Link 1,5351305633,94897316,05/06/2017 05:51:12 PM,04/19/2019 09:21:47 AM,107.77.200.174, , , , ,141168,05,06,2017,04,11,2008,9,Male,2,76710,No, , , , ,White, , ,No, ,Frequently,Always,Always,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Frequently,Never,Never,Never,1
Web Link 1,5351307266,94897316,05/06/2017 06:00:42 PM,05/06/2017 06:04:59 PM,107.77.200.174, , , , ,141166,05,06,2017,09,20,2008,8,Female,2,76643,No, , , , ,White, , ,No, ,Always,Always,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Never,Never,Never,1
Web Link 1,5351310247,94897316,05/06/2017 06:12:31 PM,05/06/2017 06:15:58 PM,107.77.200.174, , , , ,141163,05,06,2017,12,25,2008,8,Male,2,76657,No, , , , ,White, , ,No, ,Frequently,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Always,Never,Never,Never,1
Web Link 1,5351311450,94897316,05/06/2017 06:17:22 PM,05/06/2017 06:27:33 PM,107.77.200.174, , , , ,141161,05,06,2017,06,25,2009,7,Female,2,76707,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Frequently,1
Web Link 1,5351314280,94897316,05/06/2017 06:28:18 PM,05/06/2017 06:30:54 PM,107.77.200.174, , , , ,141149,05,06,2017,06,29,2009,7,Female,2,76657,No, , , , ,White, , ,No, ,Always,Always,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Always,Frequently,Never,Never,Never,1
Web Link 1,5354787380,94897316,05/10/2017 01:00:46 PM,04/19/2019 09:18:07 AM,24.227.200.250, , , , ,141143,05,10,2017,09,30,2006,10,Female,4,76705,Yes, , , , , ,Other (please specify),Hispanic,No, ,Always,Always,Frequently,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Frequently,Occasionally,Occasionally,1
Web Link 1,5354791393,94897316,05/10/2017 01:05:40 PM,05/10/2017 01:08:16 PM,24.227.200.250, , , , ,141142,05,10,2017,09,29,2006,10,Male,4,76708,No, , , , ,White, , ,No, ,Frequently,Always,Always,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Occasionally,Never,Occasionally,Never,1
Web Link 1,5354812738,94897316,05/10/2017 01:27:45 PM,05/10/2017 01:29:41 PM,24.227.200.250, , , , ,141137,05,10,2017,03,24,2011,6,Female,K,76708,No, , , , ,White, , ,No, ,Frequently,Always,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,1
Web Link 1,5354814911,94897316,05/10/2017 01:30:14 PM,05/10/2017 01:32:14 PM,24.227.200.250, , , , ,141139,05,10,2017,01,25,2011,6,Female,K,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,1
Web Link 1,5354822903,94897316,05/10/2017 01:38:23 PM,05/10/2017 01:42:42 PM,24.227.200.250, , , , ,141141,05,10,2017,04,29,2007,10,Male,4,76708,No, , , , ,White, , ,No, ,Occasionally,Frequently,Frequently,Frequently,Occasionally,Occasionally,Never,Frequently,Occasionally,Frequently,Frequently,Frequently,Never,Never,Occasionally,Occasionally,Frequently,Frequently,Never,Never,Never,1
Web Link 1,5354825834,94897316,05/10/2017 01:41:22 PM,05/10/2017 01:46:38 PM,107.77.198.195, , , , ,141147,05,10,2017,09,01,2006,10,Female,5,76708,No, , , , ,White, , ,No, ,Always,Frequently,Always,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,1
Web Link 1,5354829293,94897316,05/10/2017 01:43:29 PM,05/10/2017 01:55:45 PM,24.227.200.250, , , , ,141136,05,10,2017,02,16,2007,10,Female,4,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Frequently,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,1
Web Link 1,5354868825,94897316,05/10/2017 02:26:49 PM,05/10/2017 02:32:51 PM,24.155.30.147, , , , ,141175,05,10,2017,03,04,2009,8,Male,2,76708,No, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Frequently,Never,Never,Never,1
Web Link 1,5354871189,94897316,05/10/2017 02:33:47 PM,05/10/2017 02:36:34 PM,24.155.30.147, , , , ,141174,05,10,2017,01,22,2009,8,Female,2,76633,No, , , , ,White, , ,No, ,Always,Frequently,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,1
Web Link 1,5354874215,94897316,05/10/2017 02:37:04 PM,05/10/2017 02:40:49 PM,24.155.30.147, , , , ,141177,05,10,2017,07,19,2008,8,Male,2,76712,No, , , , ,White, , ,No, ,Occasionally,Always,Always,Occasionally,Frequently,Occasionally,Never,Occasionally,Occasionally,Frequently,Never,Frequently,Never,Never,Never,Never,Always,Always,Never,Never,Never,1
Web Link 1,5355008524,94897316,05/10/2017 06:24:17 PM,05/10/2017 06:26:44 PM,24.229.169.9, , , , ,144031,05,10,2017,03,16,2010,7,Female,1,08865,No, , , , ,White, , ,No, ,Always,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Never,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,1
Web Link 1,5355009771,94897316,05/10/2017 06:27:03 PM,05/10/2017 06:29:00 PM,24.229.169.9, , , , ,144030,05,10,2017,04,28,2010,7,Male,1,08865,Yes, , , , ,White, , ,No, ,Frequently,Always,Always,Occasionally,Never,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Always,Never,Occasionally,Never,1
Web Link 1,5355035920,94897316,05/10/2017 07:18:48 PM,04/19/2019 09:38:58 AM,24.115.221.66, , , , ,144027,05,10,2017,11,14,2008,8,Female,2,08865,Yes, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,1
Web Link 1,5355037712,94897316,05/10/2017 07:23:09 PM,05/10/2017 07:25:48 PM,24.115.221.66, , , , ,144033,05,10,2017,07,04,2009,7,Male,2,08865,Yes, , , , , ,Other (please specify),Spanish,No, ,Always,Frequently,Frequently,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,1
Web Link 1,5356815474,94897316,05/12/2017 02:02:44 PM,05/12/2017 02:05:02 PM,24.227.200.250, , , , ,141135,05,12,2017,07,11,2008,8,Male,3,76708,No, , , , ,White, , ,No, ,Never,Frequently,Frequently,Occasionally,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Occasionally,Frequently,Occasionally,Never,Never,Never,Occasionally,Never,Never,1
Web Link 1,5357785421,94897316,05/14/2017 05:42:23 PM,05/14/2017 05:47:28 PM,74.105.176.237, , , , ,144018,05,14,2017,09,08,2009,7,Female,2,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5357787120,94897316,05/14/2017 05:40:56 PM,05/14/2017 05:52:33 PM,74.105.176.237, , , , ,144019,05,14,2017,08,28,2009,7,Female,2,08865,Yes, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Occasionally,Never,Never,1
Web Link 1,5358430047,94897316,05/15/2017 10:37:23 AM,05/15/2017 10:43:12 AM,24.227.200.250, , , , ,141140,05,13,2017,09,16,2008,8,Male,2,76708,No, , , , ,White, , ,No, ,Always,Frequently,Always,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Occasionally,Never,Frequently,Never,Never,Never,1
Web Link 1,5358439513,94897316,05/15/2017 10:45:04 AM,05/15/2017 10:50:31 AM,24.227.200.250, , , , ,141146,05,13,2017,05,04,2009,8,Male,2,76708,No, , , , ,White, , ,No, ,Occasionally,Frequently,Frequently,Occasionally,Occasionally,Never,Never,Occasionally,Never,Frequently,Occasionally,Occasionally,Never,Never,Never,Occasionally,Frequently,Frequently,Never,Never,Never,1
Web Link 1,5358447598,94897316,05/15/2017 10:54:12 AM,05/15/2017 10:56:30 AM,204.186.115.14, , , , ,144028,05,15,2017,05,21,2009,7,Female,2,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5358451196,94897316,05/15/2017 10:57:04 AM,05/15/2017 10:59:08 AM,204.186.115.14, , , , ,144047,05,15,2017,02,19,2009,8,Female,2,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5358478927,94897316,05/15/2017 11:23:01 AM,05/15/2017 11:25:30 AM,24.227.200.250, , , , ,141145,05,15,2017,06,06,2006,10,Female,4,76708,No, , , , ,White, , ,No, ,Never,Always,Always,Frequently,Always,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,1
Web Link 1,5358482214,94897316,05/15/2017 11:26:14 AM,05/15/2017 11:28:06 AM,24.227.200.250, , , , ,141144,05,15,2017,05,16,2006,10,Female,5,76708,Yes, , , , , ,Other (please specify),HIspanic,No, ,Never,Always,Always,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,1
Web Link 1,5358484670,94897316,05/15/2017 11:28:38 AM,05/15/2017 11:30:36 AM,24.227.200.250, , , , ,141134,05,15,2017,10,06,2005,11,Female,5,76708,No, , , , ,White, , ,No, ,Never,Frequently,Frequently,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Occasionally,Frequently,1
Web Link 1,5359817399,94897316,05/16/2017 07:22:29 PM,05/16/2017 07:26:48 PM,24.115.220.18, , , , ,144029,05,16,2017,02,23,2010,7,Male,1,08865,No, , , , ,White, , ,No, ,Never,Frequently,Frequently,Occasionally,Occasionally,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,1
Web Link 1,5360407980,94897316,05/17/2017 10:38:41 AM,05/17/2017 10:40:30 AM,24.227.200.250, , , , ,141171,05,17,2017,04,27,2011,6,Female,K,76708,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,1
Web Link 1,5361268512,94897316,05/18/2017 09:01:04 AM,05/18/2017 09:03:36 AM,24.227.200.250, , , , ,141172,05,18,2017,07,09,2007,9,Female,4,76708,No, , , , ,White, , ,No, ,Always,Frequently,Frequently,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Never,1
Web Link 1,5361474283,94897316,05/18/2017 12:30:05 PM,04/19/2019 09:14:00 AM,24.227.200.250, , , , ,141138,05,18,2017,04,25,2007,9,Female,4,76708,No, , , , ,White, , ,No, ,Never,Always,Always,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,1
Web Link 1,5361556472,94897316,05/18/2017 02:06:39 PM,05/18/2017 02:10:15 PM,174.201.14.112, , , , ,144020,05,18,2017,07,27,2010,6,Female,1,08865,No, , , , ,White, , ,No, ,Frequently,Always,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,1
Web Link 1,5361559447,94897316,05/18/2017 02:10:56 PM,04/19/2019 09:38:18 AM,174.201.14.112, , , , ,144026,05,18,2017,03,17,2010,7,Male,1,08865,Yes, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5361994584,94897316,05/19/2017 05:52:43 AM,04/19/2019 08:45:01 AM,70.174.114.209, , , , ,119005,05,19,2017,11,11,2010,6,Female,K,23455,No, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,1
Web Link 1,5362742636,94897316,05/20/2017 06:21:53 AM,05/22/2017 11:45:51 AM,70.174.114.209, , , , ,119068,05,20,2017,11,26,2006,10,Female,4,23707,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Frequently,Never,Occasionally,1
Web Link 1,5362946881,94897316,05/20/2017 03:21:44 PM,05/22/2017 11:45:14 AM,70.174.114.209, , , , ,119066,05,20,2017,04,23,2007,9,Male,4,23666,No, , ,Black/African American, , , , ,No, ,Always,Frequently,Always,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,1
Web Link 1,5362948767,94897316,05/20/2017 03:25:49 PM,04/19/2019 08:51:40 AM,70.174.114.209, , , , ,119065,05,20,2017,02,03,2009,8,Male,2,23666,No, , ,Black/African American, , , , ,No, ,Always,Always,Always,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,1
Web Link 1,5363188190,94897316,05/21/2017 06:45:24 AM,05/21/2017 06:54:49 AM,173.173.45.237, , , , ,141179,05,21,2017,05,18,2011,6,Male,K,76633,Yes, , , , ,White,Other (please specify),hispanic,No, ,Frequently,Frequently,Always,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,1
Web Link 1,5363190309,94897316,05/21/2017 06:55:56 AM,05/21/2017 06:58:31 AM,173.173.45.237, , , , ,141180,05,21,2017,05,18,2011,6,Female,K,76633,Yes, , , , ,White,Other (please specify),hispanic,No, ,Always,Always,Always,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,1
Web Link 1,5364226423,94897316,05/22/2017 10:28:16 AM,05/22/2017 10:35:08 AM,204.186.115.14, , , , ,144038,05,22,2017,05,04,2009,8,Male,2,08865,No, , , , ,White, , ,No, ,Frequently,Frequently,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Frequently,Never,Never,Never,1
Web Link 1,5364256118,94897316,05/22/2017 10:50:33 AM,05/22/2017 10:53:45 AM,204.186.115.14, , , , ,144046,05,22,2017,11,22,2008,8,Male,2,08865,No, , ,Black/African American, ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Frequently,Never,Never,Never,1
Web Link 1,5365288265,94897316,05/23/2017 07:28:11 AM,05/23/2017 07:32:17 AM,204.186.115.14, , , , ,144039,05,23,2017,04,22,2010,7,Male,1,08865,No, , , , ,White, , ,No, ,Always,Always,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,1
Web Link 1,5367111788,94897316,05/24/2017 05:06:47 PM,05/24/2017 05:15:31 PM,24.115.161.177, , , , ,144058,05,24,2017,08,31,2009,7,Female,2,08865,No, , , , ,White, , ,No, ,Never,Always,Always,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Frequently,Frequently,Never,Never,Never,1
Web Link 1,5367114249,94897316,05/24/2017 05:15:59 PM,05/24/2017 05:18:55 PM,24.115.161.177, , , , ,144032,05,24,2017,08,31,2009,7,Male,2,08865,No, , , , ,White, , ,No, ,Never,Frequently,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Always,Frequently,Never,Never,Never,1
Web Link 1,5370087399,94897316,05/29/2017 09:02:48 AM,05/29/2017 09:09:45 AM,107.77.201.64, , , , ,141184,05,29,2017,03,24,2009,8,Female,2,76706,No, , , , ,White, , ,No, ,Frequently,Always,Frequently,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Never,Never,Never,1
Web Link 1,5374448802,94897316,06/04/2017 02:49:33 PM,04/19/2019 08:53:01 AM,70.161.95.89, , , , ,119076,06,04,2017,11,03,2004,12,Male,6,23707,No, , ,Black/African American, , , , ,No, ,Frequently,Frequently,Frequently,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Occasionally,1
