form,n,SPM2_row_label,ABAS3_col_label,r,p
,,SOC,Scl,-0.436,0
,,VIS,Scl,-0.306,0.017
,,HEA,Scl,-0.075,0.571
,,TOU,Scl,-0.298,0.021
,,TS,Scl,-0.372,0.003
,,BOD,Scl,-0.478,0
,,BAL,Scl,-0.235,0.071
,,PLA,Scl,-0.391,0.002
,,TOT,Scl,-0.362,0.004
,,SOC,Wr,-0.162,0.218
,,VIS,Wr,0.015,0.907
,,HEA,Wr,-0.027,0.84
,,TOU,Wr,0.201,0.124
,,TS,Wr,0.093,0.48
,,BOD,Wr,-0.092,0.484
,,BAL,Wr,0.194,0.138
,,PLA,Wr,-0,0.997
,,TOT,Wr,0.077,0.559
,,SOC,GAC,-0.564,0
,,VIS,GAC,-0.386,0.002
,,HEA,GAC,-0.084,0.523
,,TOU,GAC,-0.416,0.001
,,TS,GAC,-0.405,0.001
,,BOD,GAC,-0.468,0
,,BAL,GAC,-0.395,0.002
,,PLA,GAC,-0.586,0
,,TOT,GAC,-0.439,0
,,SOC,Cn,-0.536,0
,,VIS,Cn,-0.366,0.004
,,HEA,Cn,-0.037,0.78
,,TOU,Cn,-0.351,0.006
,,TS,Cn,-0.352,0.006
,,BOD,Cn,-0.448,0
,,BAL,Cn,-0.365,0.004
,,PLA,Cn,-0.555,0
,,TOT,Cn,-0.38,0.003
,,SOC,Scs,-0.545,0
,,VIS,Scs,-0.363,0.004
,,HEA,Scs,-0.153,0.245
,,TOU,Scs,-0.387,0.002
,,TS,Scs,-0.394,0.002
,,BOD,Scs,-0.413,0.001
,,BAL,Scs,-0.339,0.008
,,PLA,Scs,-0.531,0
,,TOT,Scs,-0.43,0.001
,,SOC,Pr,-0.511,0
,,VIS,Pr,-0.334,0.009
,,HEA,Pr,-0.012,0.926
,,TOU,Pr,-0.402,0.001
,,TS,Pr,-0.374,0.003
,,BOD,Pr,-0.446,0
,,BAL,Pr,-0.368,0.004
,,PLA,Pr,-0.536,0
,,TOT,Pr,-0.39,0.002
Adult-Home-School-Clin,154,SOC,Cm,-0.368,0
,,VIS,Cm,-0.46,0
,,HEA,Cm,-0.429,0
,,TOU,Cm,-0.371,0
,,TS,Cm,-0.345,0
,,BOD,Cm,-0.531,0
,,BAL,Cm,-0.511,0
,,PLA,Cm,-0.517,0
,,TOT,Cm,-0.54,0
,,SOC,Fn,-0.353,0
,,VIS,Fn,-0.45,0
,,HEA,Fn,-0.257,0.001
,,TOU,Fn,-0.285,0
,,TS,Fn,-0.267,0.001
,,BOD,Fn,-0.417,0
,,BAL,Fn,-0.475,0
,,PLA,Fn,-0.574,0
,,TOT,Fn,-0.446,0
,,SOC,Hl,-0.361,0
,,VIS,Hl,-0.416,0
,,HEA,Hl,-0.242,0.003
,,TOU,Hl,-0.25,0.002
,,TS,Hl,-0.247,0.002
,,BOD,Hl,-0.457,0
,,BAL,Hl,-0.402,0
,,PLA,Hl,-0.5,0
,,TOT,Hl,-0.418,0
,,SOC,Ls,-0.364,0
,,VIS,Ls,-0.449,0
,,HEA,Ls,-0.33,0
,,TOU,Ls,-0.367,0
,,TS,Ls,-0.321,0
,,BOD,Ls,-0.454,0
,,BAL,Ls,-0.449,0
,,PLA,Ls,-0.518,0
,,TOT,Ls,-0.485,0
,,SOC,SC,-0.453,0
,,VIS,SC,-0.479,0
,,HEA,SC,-0.306,0
,,TOU,SC,-0.393,0
,,TS,SC,-0.29,0
,,BOD,SC,-0.507,0
,,BAL,SC,-0.501,0
,,PLA,SC,-0.479,0
,,TOT,SC,-0.513,0
,,SOC,SD,-0.392,0
,,VIS,SD,-0.463,0
,,HEA,SD,-0.305,0
,,TOU,SD,-0.362,0
,,TS,SD,-0.264,0.001
,,BOD,SD,-0.483,0
,,BAL,SD,-0.447,0
,,PLA,SD,-0.485,0
,,TOT,SD,-0.481,0
,,SOC,Scl,-0.495,0
,,VIS,Scl,-0.423,0
,,HEA,Scl,-0.281,0
,,TOU,Scl,-0.304,0
,,TS,Scl,-0.299,0
,,BOD,Scl,-0.431,0
,,BAL,Scl,-0.346,0
,,PLA,Scl,-0.48,0
,,TOT,Scl,-0.438,0
,,SOC,Wr,0.036,0.658
,,VIS,Wr,0.127,0.118
,,HEA,Wr,0.037,0.647
,,TOU,Wr,0.057,0.485
,,TS,Wr,0.017,0.832
,,BOD,Wr,0.072,0.372
,,BAL,Wr,0.257,0.001
,,PLA,Wr,0.413,0
,,TOT,Wr,0.119,0.14
,,SOC,GAC,-0.463,0
,,VIS,GAC,-0.516,0
,,HEA,GAC,-0.366,0
,,TOU,GAC,-0.381,0
,,TS,GAC,-0.337,0
,,BOD,GAC,-0.532,0
,,BAL,GAC,-0.524,0
,,PLA,GAC,-0.588,0
,,TOT,GAC,-0.55,0
,,SOC,Cn,-0.419,0
,,VIS,Cn,-0.519,0
,,HEA,Cn,-0.392,0
,,TOU,Cn,-0.38,0
,,TS,Cn,-0.341,0
,,BOD,Cn,-0.527,0
,,BAL,Cn,-0.534,0
,,PLA,Cn,-0.578,0
,,TOT,Cn,-0.556,0
,,SOC,Scs,-0.446,0
,,VIS,Scs,-0.466,0
,,HEA,Scs,-0.321,0
,,TOU,Scs,-0.369,0
,,TS,Scs,-0.32,0
,,BOD,Scs,-0.46,0
,,BAL,Scs,-0.408,0
,,PLA,Scs,-0.513,0
,,TOT,Scs,-0.488,0
,,SOC,Pr,-0.443,0
,,VIS,Pr,-0.467,0
,,HEA,Pr,-0.308,0
,,TOU,Pr,-0.33,0
,,TS,Pr,-0.288,0
,,BOD,Pr,-0.516,0
,,BAL,Pr,-0.513,0
,,PLA,Pr,-0.561,0
,,TOT,Pr,-0.501,0
