form,n,SPM2_row_label,ABAS3_col_label,r,p
,,TOT,GAC,-0.294,0.092
,,SOC,Cn,-0.517,0.002
,,VIS,Cn,-0.302,0.083
,,HEA,Cn,-0.383,0.026
,,TOU,Cn,-0.307,0.077
,,TS,Cn,-0.139,0.434
,,BOD,Cn,-0.069,0.696
,,BAL,Cn,-0.142,0.422
,,PLA,Cn,-0.568,0
,,TOT,Cn,-0.239,0.173
,,SOC,Scs,-0.544,0.001
,,VIS,Scs,-0.356,0.039
,,HEA,Scs,-0.56,0.001
,,TOU,Scs,-0.469,0.005
,,TS,Scs,-0.298,0.087
,,BOD,Scs,-0.309,0.075
,,BAL,Scs,-0.287,0.1
,,PLA,Scs,-0.537,0.001
,,TOT,Scs,-0.421,0.013
,,SOC,Pr,-0.343,0.047
,,VIS,Pr,-0.155,0.383
,,HEA,Pr,-0.366,0.033
,,TOU,Pr,-0.375,0.029
,,TS,Pr,-0.278,0.111
,,BOD,Pr,-0.124,0.485
,,BAL,Pr,-0.043,0.81
,,PLA,Pr,-0.319,0.066
,,TOT,Pr,-0.225,0.201
Child-512-Home-School-Clin,328,SOC,Cm,-0.537,0
,,VIS,Cm,-0.445,0
,,HEA,Cm,-0.338,0
,,TOU,Cm,-0.403,0
,,TS,Cm,-0.292,0
,,BOD,Cm,-0.387,0
,,BAL,Cm,-0.403,0
,,PLA,Cm,-0.534,0
,,TOT,Cm,-0.485,0
,,SOC,Fn,-0.374,0
,,VIS,Fn,-0.42,0
,,HEA,Fn,-0.268,0
,,TOU,Fn,-0.308,0
,,TS,Fn,-0.137,0.013
,,BOD,Fn,-0.305,0
,,BAL,Fn,-0.305,0
,,PLA,Fn,-0.436,0
,,TOT,Fn,-0.384,0
,,SOC,HS,-0.476,0
,,VIS,HS,-0.369,0
,,HEA,HS,-0.281,0
,,TOU,HS,-0.353,0
,,TS,HS,-0.2,0
,,BOD,HS,-0.361,0
,,BAL,HS,-0.333,0
,,PLA,HS,-0.447,0
,,TOT,HS,-0.401,0
,,SOC,Hl,-0.482,0
,,VIS,Hl,-0.326,0
,,HEA,Hl,-0.285,0
,,TOU,Hl,-0.369,0
,,TS,Hl,-0.269,0
,,BOD,Hl,-0.411,0
,,BAL,Hl,-0.353,0
,,PLA,Hl,-0.375,0
,,TOT,Hl,-0.421,0
,,SOC,Ls,-0.641,0
,,VIS,Ls,-0.392,0
,,HEA,Ls,-0.352,0
,,TOU,Ls,-0.419,0
,,TS,Ls,-0.323,0
,,BOD,Ls,-0.434,0
,,BAL,Ls,-0.37,0
,,PLA,Ls,-0.493,0
,,TOT,Ls,-0.485,0
,,SOC,SC,-0.49,0
,,VIS,SC,-0.391,0
,,HEA,SC,-0.36,0
,,TOU,SC,-0.469,0
,,TS,SC,-0.367,0
,,BOD,SC,-0.414,0
,,BAL,SC,-0.465,0
,,PLA,SC,-0.485,0
,,TOT,SC,-0.512,0
,,SOC,SD,-0.506,0
,,VIS,SD,-0.408,0
,,HEA,SD,-0.353,0
,,TOU,SD,-0.427,0
,,TS,SD,-0.248,0
,,BOD,SD,-0.391,0
,,BAL,SD,-0.346,0
,,PLA,SD,-0.462,0
,,TOT,SD,-0.464,0
,,SOC,Scl,-0.626,0
,,VIS,Scl,-0.416,0
,,HEA,Scl,-0.368,0
,,TOU,Scl,-0.417,0
,,TS,Scl,-0.309,0
,,BOD,Scl,-0.443,0
,,BAL,Scl,-0.351,0
,,PLA,Scl,-0.468,0
,,TOT,Scl,-0.491,0
,,SOC,Wr,,
,,VIS,Wr,,
,,HEA,Wr,,
,,TOU,Wr,,
,,TS,Wr,,
,,BOD,Wr,,
,,BAL,Wr,,
,,PLA,Wr,,
,,TOT,Wr,,
,,SOC,GAC,-0.576,0
,,VIS,GAC,-0.463,0
,,HEA,GAC,-0.37,0
,,TOU,GAC,-0.451,0
,,TS,GAC,-0.295,0
,,BOD,GAC,-0.45,0
,,BAL,GAC,-0.425,0
,,PLA,GAC,-0.532,0
,,TOT,GAC,-0.523,0
,,SOC,Cn,-0.514,0
,,VIS,Cn,-0.47,0
,,HEA,Cn,-0.349,0
,,TOU,Cn,-0.409,0
,,TS,Cn,-0.241,0
,,BOD,Cn,-0.39,0
,,BAL,Cn,-0.389,0
,,PLA,Cn,-0.527,0
,,TOT,Cn,-0.485,0
,,SOC,Scs,-0.659,0
,,VIS,Scs,-0.425,0
,,HEA,Scs,-0.382,0
,,TOU,Scs,-0.441,0
,,TS,Scs,-0.334,0
,,BOD,Scs,-0.471,0
,,BAL,Scs,-0.389,0
,,PLA,Scs,-0.517,0
,,TOT,Scs,-0.519,0
,,SOC,Pr,-0.527,0
,,VIS,Pr,-0.428,0
,,HEA,Pr,-0.357,0
,,TOU,Pr,-0.457,0
,,TS,Pr,-0.296,0
,,BOD,Pr,-0.45,0
,,BAL,Pr,-0.436,0
,,PLA,Pr,-0.494,0
,,TOT,Pr,-0.511,0
