form,n,SPM2_row_label,ABAS3_col_label,r,p
,,HEA,GAC,-0.19,0.325
,,TOU,GAC,-0.223,0.246
,,TS,GAC,0.215,0.263
,,BOD,GAC,-0.194,0.314
,,BAL,GAC,-0.201,0.296
,,PLA,GAC,-0.177,0.358
,,TOT,Cn,-0.114,0.555
,,SOC,Cn,-0.321,0.089
,,VIS,Cn,0.329,0.082
,,HEA,Cn,-0.172,0.371
,,TOU,Cn,-0.245,0.2
,,TS,Cn,0.109,0.575
,,BOD,Cn,-0.207,0.282
,,BAL,Cn,-0.198,0.304
,,PLA,Cn,-0.184,0.34
,,TOT,Scs,-0.167,0.386
,,SOC,Scs,-0.363,0.053
,,VIS,Scs,0.344,0.068
,,HEA,Scs,-0.206,0.284
,,TOU,Scs,-0.381,0.041
,,TS,Scs,0.079,0.684
,,BOD,Scs,-0.245,0.2
,,BAL,Scs,-0.186,0.333
,,PLA,Scs,-0.182,0.344
,,TOT,Pr,-0.031,0.872
,,SOC,Pr,-0.129,0.506
,,VIS,Pr,0.26,0.174
,,HEA,Pr,-0.077,0.691
,,TOU,Pr,-0.092,0.636
,,TS,Pr,0.254,0.185
,,BOD,Pr,-0.078,0.687
,,BAL,Pr,-0.128,0.508
,,PLA,Pr,-0.06,0.757
IT-430-Home-Clin,52,SOC,Cm,-0.373,0.006
,,VIS,Cm,-0.427,0.002
,,HEA,Cm,-0.295,0.034
,,TOU,Cm,-0.235,0.094
,,TS,Cm,-0.147,0.297
,,BOD,Cm,-0.344,0.013
,,BAL,Cm,-0.531,0
,,PLA,Cm,-0.581,0
,,TOT,Cm,-0.468,0
,,SOC,Hl,-0.504,0
,,VIS,Hl,-0.332,0.016
,,HEA,Hl,-0.246,0.079
,,TOU,Hl,-0.214,0.128
,,TS,Hl,0.046,0.748
,,BOD,Hl,-0.511,0
,,BAL,Hl,-0.43,0.001
,,PLA,Hl,-0.534,0
,,TOT,Hl,-0.373,0.006
,,SOC,Ls,-0.516,0
,,VIS,Ls,-0.45,0.001
,,HEA,Ls,-0.389,0.004
,,TOU,Ls,-0.218,0.12
,,TS,Ls,-0.018,0.898
,,BOD,Ls,-0.384,0.005
,,BAL,Ls,-0.406,0.003
,,PLA,Ls,-0.519,0
,,TOT,Ls,-0.408,0.003
,,SOC,SC,-0.577,0
,,VIS,SC,-0.335,0.015
,,HEA,SC,-0.182,0.196
,,TOU,SC,-0.235,0.093
,,TS,SC,-0.137,0.333
,,BOD,SC,-0.484,0
,,BAL,SC,-0.458,0.001
,,PLA,SC,-0.659,0
,,TOT,SC,-0.392,0.004
,,SOC,SD,-0.505,0
,,VIS,SD,-0.334,0.015
,,HEA,SD,-0.283,0.042
,,TOU,SD,-0.176,0.212
,,TS,SD,-0.082,0.563
,,BOD,SD,-0.505,0
,,BAL,SD,-0.289,0.038
,,PLA,SD,-0.45,0.001
,,TOT,SD,-0.349,0.011
,,SOC,Scl,-0.578,0
,,VIS,Scl,-0.423,0.002
,,HEA,Scl,-0.282,0.043
,,TOU,Scl,-0.197,0.161
,,TS,Scl,-0.016,0.911
,,BOD,Scl,-0.487,0
,,BAL,Scl,-0.45,0.001
,,PLA,Scl,-0.594,0
,,TOT,Scl,-0.417,0.002
,,SOC,Mt,-0.416,0.002
,,VIS,Mt,-0.342,0.013
,,HEA,Mt,-0.141,0.317
,,TOU,Mt,-0.134,0.342
,,TS,Mt,0.018,0.902
,,BOD,Mt,-0.377,0.006
,,BAL,Mt,-0.376,0.006
,,PLA,Mt,-0.601,0
,,TOT,Mt,-0.307,0.027
,,SOC,GAC,-0.534,0
,,VIS,GAC,-0.433,0.001
,,HEA,GAC,-0.276,0.048
,,TOU,GAC,-0.203,0.149
,,TS,GAC,-0.015,0.915
,,BOD,GAC,-0.478,0
,,BAL,GAC,-0.492,0
,,PLA,GAC,-0.67,0
,,TOT,GAC,-0.427,0.002
,,SOC,Cn,-0.462,0.001
,,VIS,Cn,-0.465,0.001
,,HEA,Cn,-0.309,0.026
,,TOU,Cn,-0.241,0.085
,,TS,Cn,-0.121,0.392
,,BOD,Cn,-0.465,0.001
,,BAL,Cn,-0.538,0
,,PLA,Cn,-0.652,0
,,TOT,Cn,-0.494,0
,,SOC,Scs,-0.598,0
,,VIS,Scs,-0.464,0.001
,,HEA,Scs,-0.363,0.008
,,TOU,Scs,-0.251,0.073
,,TS,Scs,-0.041,0.775
,,BOD,Scs,-0.482,0
,,BAL,Scs,-0.471,0
,,PLA,Scs,-0.604,0
,,TOT,Scs,-0.458,0.001
,,SOC,Pr,-0.569,0
,,VIS,Pr,-0.327,0.018
,,HEA,Pr,-0.203,0.148
,,TOU,Pr,-0.203,0.148
,,TS,Pr,-0.013,0.925
,,BOD,Pr,-0.517,0
,,BAL,Pr,-0.422,0.002
,,PLA,Pr,-0.641,0
,,TOT,Pr,-0.367,0.007
