form,n,SPM2_row_label,SP2_col_label,r,p
,,BOD,Gn,0.451,0.223
,,BAL,Gn,0.793,0.011
,,PLA,Gn,0.65,0.058
,,TOT,Gn,0.552,0.123
,,SOC,Ad,0.354,0.35
,,VIS,Ad,0.136,0.727
,,HEA,Ad,0.38,0.314
,,TOU,Ad,0.026,0.948
,,TS,Ad,-0.049,0.9
,,BOD,Ad,0.422,0.257
,,BAL,Ad,0.366,0.333
,,PLA,Ad,0.497,0.173
,,TOT,Ad,0.375,0.32
,,SOC,Vs,0.703,0.034
,,VIS,Vs,-0.143,0.714
,,HEA,Vs,0.742,0.022
,,TOU,Vs,0.198,0.609
,,TS,Vs,0.248,0.52
,,BOD,Vs,0.212,0.585
,,BAL,Vs,0.908,0.001
,,PLA,Vs,0.652,0.057
,,TOT,Vs,0.659,0.053
,,SOC,Tc,0.668,0.049
,,VIS,Tc,-0.146,0.708
,,HEA,Tc,0.713,0.031
,,TOU,Tc,-0.164,0.673
,,TS,Tc,-0.287,0.453
,,BOD,Tc,0.323,0.396
,,BAL,Tc,0.757,0.018
,,PLA,Tc,0.934,0
,,TOT,Tc,0.417,0.264
,,SOC,Mv,0.721,0.028
,,VIS,Mv,0.156,0.689
,,HEA,Mv,0.644,0.061
,,TOU,Mv,-0.186,0.632
,,TS,Mv,-0.269,0.484
,,BOD,Mv,0.282,0.462
,,BAL,Mv,0.702,0.035
,,PLA,Mv,0.763,0.017
,,TOT,Mv,0.468,0.204
,,SOC,OS,0.533,0.139
,,VIS,OS,0.691,0.039
,,HEA,OS,0.531,0.141
,,TOU,OS,0.439,0.237
,,TS,OS,0.374,0.322
,,BOD,OS,0.38,0.312
,,BAL,OS,0.435,0.242
,,PLA,OS,0.121,0.756
,,TOT,OS,0.828,0.006
,,SOC,TSS,0.703,0.035
,,VIS,TSS,-0.001,0.997
,,HEA,TSS,0.706,0.034
,,TOU,TSS,0.097,0.803
,,TS,TSS,-0.003,0.994
,,BOD,TSS,0.417,0.264
,,BAL,TSS,0.871,0.002
,,PLA,TSS,0.812,0.008
,,TOT,TSS,0.644,0.061
IT-1030-Home-Stand,13,SOC,Gn,0.101,0.742
,,VIS,Gn,-0.207,0.497
,,HEA,Gn,0.531,0.062
,,TOU,Gn,0.348,0.245
,,TS,Gn,0.546,0.054
,,BOD,Gn,0.631,0.021
,,BAL,Gn,0.231,0.447
,,PLA,Gn,0.055,0.858
,,TOT,Gn,0.565,0.044
,,SOC,Ad,0.255,0.4
,,VIS,Ad,0.051,0.868
,,HEA,Ad,0.685,0.01
,,TOU,Ad,0.355,0.234
,,TS,Ad,0.506,0.078
,,BOD,Ad,0.666,0.013
,,BAL,Ad,0.225,0.46
,,PLA,Ad,0.356,0.233
,,TOT,Ad,0.653,0.016
,,SOC,Vs,0.074,0.81
,,VIS,Vs,-0.312,0.299
,,HEA,Vs,0.402,0.173
,,TOU,Vs,0.049,0.874
,,TS,Vs,0.651,0.016
,,BOD,Vs,0.076,0.806
,,BAL,Vs,0.117,0.704
,,PLA,Vs,-0.433,0.14
,,TOT,Vs,0.289,0.339
,,SOC,Tc,-0.095,0.756
,,VIS,Tc,-0.455,0.118
,,HEA,Tc,0.204,0.504
,,TOU,Tc,-0.064,0.835
,,TS,Tc,0.452,0.121
,,BOD,Tc,0.045,0.884
,,BAL,Tc,0.263,0.385
,,PLA,Tc,-0.316,0.293
,,TOT,Tc,0.152,0.62
,,SOC,Mv,-0.154,0.615
,,VIS,Mv,-0.054,0.86
,,HEA,Mv,0.336,0.262
,,TOU,Mv,0.271,0.371
,,TS,Mv,0.325,0.279
,,BOD,Mv,0.246,0.417
,,BAL,Mv,-0.237,0.435
,,PLA,Mv,-0.393,0.185
,,TOT,Mv,0.248,0.415
,,SOC,Or,0.114,0.71
,,VIS,Or,-0.422,0.151
,,HEA,Or,0.549,0.052
,,TOU,Or,0.575,0.04
,,TS,Or,0.71,0.007
,,BOD,Or,0.827,0
,,BAL,Or,0.576,0.039
,,PLA,Or,0.02,0.947
,,TOT,Or,0.76,0.003
,,SOC,Bh,0.352,0.238
,,VIS,Bh,-0.157,0.609
,,HEA,Bh,0.707,0.007
,,TOU,Bh,0.599,0.031
,,TS,Bh,0.755,0.003
,,BOD,Bh,0.734,0.004
,,BAL,Bh,0.409,0.165
,,PLA,Bh,0.013,0.966
,,TOT,Bh,0.805,0.001
,,SOC,SkS,-0.3,0.32
,,VIS,SkS,-0.094,0.76
,,HEA,SkS,0.487,0.092
,,TOU,SkS,0.361,0.226
,,TS,SkS,0.577,0.039
,,BOD,SkS,0.305,0.311
,,BAL,SkS,-0.021,0.947
,,PLA,SkS,-0.371,0.212
,,TOT,SkS,0.436,0.137
,,SOC,AA,0.105,0.732
,,VIS,AA,-0.434,0.139
,,HEA,AA,0.63,0.021
,,TOU,AA,0.238,0.435
,,TS,AA,0.846,0
,,BOD,AA,0.551,0.051
,,BAL,AA,0.31,0.302
,,PLA,AA,-0.171,0.576
,,TOT,AA,0.603,0.029
,,SOC,SnS,0.448,0.125
,,VIS,SnS,-0.094,0.76
,,HEA,SnS,0.567,0.043
,,TOU,SnS,0.452,0.121
,,TS,SnS,0.685,0.01
,,BOD,SnS,0.494,0.086
,,BAL,SnS,0.45,0.122
,,PLA,SnS,0.132,0.668
,,TOT,SnS,0.667,0.013
,,SOC,RB,0.252,0.406
,,VIS,RB,-0.253,0.405
,,HEA,RB,0.358,0.229
,,TOU,RB,0.04,0.895
,,TS,RB,0.586,0.035
,,BOD,RB,0.284,0.347
,,BAL,RB,0.188,0.538
,,PLA,RB,-0.208,0.495
,,TOT,RB,0.345,0.248
IT-1030-Home-Clin,37,SOC,Gn,0.466,0.004
,,VIS,Gn,0.568,0
,,HEA,Gn,0.436,0.007
,,TOU,Gn,0.444,0.006
,,TS,Gn,0.498,0.002
,,BOD,Gn,0.333,0.044
,,BAL,Gn,0.604,0
,,PLA,Gn,0.479,0.003
,,TOT,Gn,0.628,0
,,SOC,Ad,0.554,0
,,VIS,Ad,0.73,0
,,HEA,Ad,0.729,0
,,TOU,Ad,0.573,0
,,TS,Ad,0.403,0.013
,,BOD,Ad,0.374,0.022
,,BAL,Ad,0.652,0
,,PLA,Ad,0.572,0
,,TOT,Ad,0.75,0
,,SOC,Vs,0.278,0.096
,,VIS,Vs,0.397,0.015
,,HEA,Vs,0.274,0.1
,,TOU,Vs,0.325,0.05
,,TS,Vs,0.013,0.937
,,BOD,Vs,0.196,0.245
,,BAL,Vs,0.332,0.045
,,PLA,Vs,0.2,0.236
,,TOT,Vs,0.33,0.046
,,SOC,Tc,0.274,0.1
,,VIS,Tc,0.586,0
,,HEA,Tc,0.447,0.006
,,TOU,Tc,0.582,0
,,TS,Tc,0.565,0
,,BOD,Tc,0.241,0.151
,,BAL,Tc,0.623,0
,,PLA,Tc,0.436,0.007
,,TOT,Tc,0.657,0
,,SOC,Mv,-0.103,0.543
,,VIS,Mv,0.053,0.756
,,HEA,Mv,0.063,0.713
,,TOU,Mv,0.288,0.084
,,TS,Mv,0.169,0.316
,,BOD,Mv,0.172,0.309
,,BAL,Mv,0.229,0.173
,,PLA,Mv,-0.214,0.203
,,TOT,Mv,0.204,0.225
,,SOC,Or,0.442,0.006
,,VIS,Or,0.474,0.003
,,HEA,Or,0.425,0.009
,,TOU,Or,0.484,0.002
,,TS,Or,0.566,0
,,BOD,Or,0.328,0.047
,,BAL,Or,0.621,0
,,PLA,Or,0.642,0
,,TOT,Or,0.629,0
,,SOC,Bh,0.431,0.008
,,VIS,Bh,0.608,0
,,HEA,Bh,0.568,0
,,TOU,Bh,0.568,0
,,TS,Bh,0.444,0.006
,,BOD,Bh,0.29,0.081
,,BAL,Bh,0.653,0
,,PLA,Bh,0.528,0.001
,,TOT,Bh,0.677,0
,,SOC,SkS,0.017,0.921
,,VIS,SkS,0.022,0.898
,,HEA,SkS,0.088,0.603
,,TOU,SkS,0.157,0.354
,,TS,SkS,-0.064,0.708
,,BOD,SkS,0.082,0.629
,,BAL,SkS,0.107,0.529
,,PLA,SkS,-0.22,0.192
,,TOT,SkS,0.08,0.636
,,SOC,AA,0.363,0.027
,,VIS,AA,0.556,0
,,HEA,AA,0.482,0.003
,,TOU,AA,0.592,0
,,TS,AA,0.632,0
,,BOD,AA,0.25,0.135
,,BAL,AA,0.655,0
,,PLA,AA,0.476,0.003
,,TOT,AA,0.684,0
,,SOC,SnS,0.511,0.001
,,VIS,SnS,0.632,0
,,HEA,SnS,0.599,0
,,TOU,SnS,0.612,0
,,TS,SnS,0.55,0
,,BOD,SnS,0.349,0.035
,,BAL,SnS,0.678,0
,,PLA,SnS,0.554,0
,,TOT,SnS,0.739,0
,,SOC,RB,0.419,0.01
,,VIS,RB,0.704,0
,,HEA,RB,0.635,0
,,TOU,RB,0.636,0
,,TS,RB,0.442,0.006
,,BOD,RB,0.333,0.044
,,BAL,RB,0.718,0
,,PLA,RB,0.573,0
,,TOT,RB,0.75,0
