form,dx,n,pct_samp
,"Attention Deficit Hyperactivity Disorder, Behavioral Disorder, FASD",1,0.01
,Autism Spectrum Disorder (leaning towards Asperger's),1,0.01
,bi polar,1,0.01
,Cerebral Palsy,1,0.01
,"Chiari Malformation, Occipital Neuralgia, anxiety, depression",1,0.01
,CP,1,0.01
,deaf in right ear; atypical hemolytic uremia syndrome,1,0.01
,depression,1,0.01
,Depression,2,0.019
,"Depression, anxiety, ADHD",1,0.01
,"Depression, PTSD, idiopathic hypersomnia, sleep apnea",1,0.01
,Developmental Delay,1,0.01
,Down syndrome,1,0.01
,"dyscalcula, ADD",1,0.01
,FASD,6,0.058
,Heading loss,1,0.01
,Hearing Impairment,7,0.068
,Hearing Loss,1,0.01
,ID,1,0.01
,IDD,4,0.039
,LD,2,0.019
,LD: Mathematics,1,0.01
,LD: Reading,2,0.019
,LD: Reading and Written Expression,1,0.01
,"LD: Reading, Written Expression and Mathematics",3,0.029
,LD: Written Expression,1,0.01
,Learning disability,1,0.01
,Learning Disability - Mild ADHD,1,0.01
,Leber's Optic Neuropathy,1,0.01
,Mood Disorder,7,0.068
,P.T.S.D.,1,0.01
,Reading and writing disorder,1,0.01
,Sensory processing,1,0.01
,SI/PD,1,0.01
,SIPD,1,0.01
,SLP,1,0.01
,SLP: Language Disorder,1,0.01
,TBI,2,0.019
,TBI and depression,1,0.01
,TBI due to a motorcycle wreck and paralysis,1,0.01
,"TBI, no right temporal lobe; migraines and epilepsy",1,0.01
,"Traumatic Brain Injury, anxiety",1,0.01
,Visual Impairment,3,0.029
Adult Other,adhd,3,0.031
,ADHD,20,0.204
,"ADHD, high functioning autism",1,0.01
,ADHD: Inattentive Presentation,1,0.01
,Anxiety,3,0.031
,"Anxiety, panic disorder, agoraphobia",1,0.01
,ASD,1,0.01
,"Attention Deficit Hyperactivity Disorder, Behavioral Disorder, FASD",1,0.01
,autism,1,0.01
,Autism,2,0.02
,Autism and Depressive Disorder,1,0.01
,"Autism spectrum, ADHD",1,0.01
,Bilateral hearing loss,1,0.01
,bipolar,1,0.01
,Cerebral palsy,1,0.01
,Cerebral Palsy,1,0.01
,CP,1,0.01
,depression,1,0.01
,Depression,2,0.02
,Down syndrome,1,0.01
,"F33.1, F41.0 F43.10 COPD and TBI",1,0.01
,FASD,6,0.061
,hearing impairment,1,0.01
,Hearing Impairment,7,0.071
,Intellectual disability,1,0.01
,Intellectual Disability,2,0.02
,Intellectual Disability Disorder,1,0.01
,LD,2,0.02
,LD: Mathematics,1,0.01
,LD: Reading,1,0.01
,LD: Reading and Written Expression,1,0.01
,"LD: Reading, Written Expression and Mathematics",3,0.031
,LD: Written Expression,1,0.01
,Learning Disability,2,0.02
,Learning disorder in reading,1,0.01
,Leber's Optic Neuropathy,1,0.01
,Mild intellectual disability,1,0.01
,Mood Disorder,5,0.051
,permanent injury - atypical hemolytic uremic syndrome,1,0.01
,"recent TBI, anxiety",1,0.01
,sensory processing,1,0.01
,Sensory processing,1,0.01
,SI/PD,1,0.01
,SLP,1,0.01
,SLP: Language Disorder,1,0.01
,Supra vavular aurta stenosis,1,0.01
,TBI,1,0.01
,TBI and depression,1,0.01
,TBI and quadriplegic paralysis,1,0.01
,"Traumatic brain injury (last 3-4 months), anxiety",1,0.01
,Visual Impairment,3,0.031
