CollectorNm,RespondentID,CollectorID,StartDate,EndDate,IPAddress,EmailAddress,FirstName,LastName,CustomData1,IDNumber,Month,Day,Year,DOBMonth,DOBDay,DOBYear,Age,Gender,Grade,ZipCode,Hispanic,AmericanIndAlaskanNat,Asian,Black,NativeHawPacIsl,White,Other,OtherSpecified,q0010,q0010_other,driving,q0012,q0012_other,q0013,q0013_other,q0014,ParentHighestEducation,q0016,q0017,q0018,q0019,q0020,q0021,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0033,q0034,q0035,q0036,q0037,q0038,q0039,q0040,q0041,q0042,q0043,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0051,q0052,q0053,q0054,q0055,q0056,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0065,q0066,q0067,q0068,q0069,q0070,q0071,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0079,q0080,q0081,q0082,q0083,q0084,q0085,q0086,q0087,q0088,q0089,q0090,q0091,q0092,q0093,q0094,q0095,q0096,q0097,q0098,q0099,q0100,q0101,q0102,q0103,q0104,q0105,q0106,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0115,q0116,q0117,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0126,q0127,q0128,q0129,q0130,q0131,q0132,q0133,q0134,q0135,q0136,q0137,q0138,Zip,Region,P_RateDt,P_DOB,P_Age,AgeGroup,Count,Ethnicity,count_total
Web Link 1,6708058481,160864355,02/20/2018 05:45:57 PM,02/20/2018 05:57:05 PM,72.48.14.97, , , , ,141276,02,20,2018,03,27,2002,15,Female,10,76708,No, , , , ,White, , ,No, ,no,Father, ,Husband, ,2,Some college or associate degree,Always,Always,Always,Occasionally,Never,Occasionally,Always,Occasionally,Occasionally,Never,Occasionally,Never,Frequently,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Always,Never,Never,Never,Never,Never, , , , , , , , , , , , , , , , , , , ,76708,south,2/20/2018,3/27/2002,15.9041752224504,14.00 to 15.99 years,1,White,1
Web Link 1,6708093783,160864355,02/20/2018 06:06:44 PM,02/20/2018 06:21:48 PM,40.134.218.242, , , , ,141294,02,20,2018,09,18,2004,13,Female,7,76689,No, , , , ,White, , ,No, ,no,Father, ,Husband, ,3,Bachelor's degree or higher,Always,Always,Always,Never,Never,Frequently,Always,Always,Never,Never,Never,Never,Always,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never, , , , , , , , , , , , , , , , , , , ,76689,south,2/20/2018,9/18/2004,13.4236824093087,11.75 to 13.99,1,White,1
Web Link 1,6708227887,160864355,02/20/2018 07:54:48 PM,02/21/2018 01:47:51 PM,162.204.33.244, , , , ,141285,02,20,2018,06,03,2004,13,Male,8,76065,No, , , , ,White, , ,No, ,no,Father, ,Husband, ,1,Bachelor's degree or higher,Always,Always,Always,Occasionally,Never,Occasionally,Always,Frequently,Never,Never,Occasionally,Never,Frequently,Never,Never,Never,Frequently,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Frequently,Occasionally,Never,Never,Never,Never,Frequently,Occasionally,Frequently,Occasionally,Never,Never,Frequently,Occasionally,Frequently,Never,Never,Never,Occasionally,Never,Occasionally,Never,Frequently,Frequently,Frequently,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Always,Occasionally,Never,Occasionally,Occasionally,Occasionally, , , , , , , , , , , , , , , , , , , ,76065,south,2/20/2018,6/3/2004,13.7166324435318,11.75 to 13.99,1,White,1
Web Link 1,6716084480,160864355,02/23/2018 07:02:41 PM,02/26/2018 08:34:46 AM,107.77.199.219, , , , ,141282,02,23,2018,09,13,2004,13,Male,10,76708,No, , , , ,White, , ,No, ,no,Father, ,Father, ,1,Bachelor's degree or higher,Frequently,Frequently,Occasionally,Frequently,Never,Occasionally,Frequently,Occasionally,Never,Never,Always,Frequently,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Frequently,Never,Occasionally,Frequently,Never,Occasionally,Never,Never,Always,Frequently,Never,Occasionally,Never,Never,Never,Occasionally,Always,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Frequently,Always,Always,Occasionally,Never,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Always,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Always,Frequently,Always,Occasionally,Always, , , , , , , , , , , , , , , , , , , ,76708,south,2/23/2018,9/13/2004,13.4455852156058,11.75 to 13.99,1,White,1
Web Link 1,6716093106,160864355,02/23/2018 07:12:35 PM,02/23/2018 07:20:14 PM,72.48.14.47, , , , ,141296,02,23,2018,11,27,2000,17,Male,11,76708,No, , , , ,White, , ,No, ,yes,Father, ,Husband, ,2,Bachelor's degree or higher,Frequently,Always,Frequently,Occasionally,Never,Occasionally,Frequently,Occasionally,Occasionally,Never,Occasionally,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Full License,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,76708,south,2/23/2018,11/27/2000,17.2402464065708,16.00 to 17.99 years,1,White,1
Web Link 1,6717059963,160864355,02/24/2018 02:48:44 PM,02/24/2018 03:07:31 PM,107.77.196.50, , , , ,141303,02,24,2018,07,19,2001,16,Female,11,76655,No, , , , ,White, , ,No, ,yes,Father, ,Husband, ,2,Bachelor's degree or higher,Frequently,Always,Frequently,Never,Never,Frequently,Frequently,Frequently,Never,Never,Never,Occasionally,Frequently,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Frequently,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Full License,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,76655,south,2/24/2018,7/19/2001,16.6023271731691,16.00 to 17.99 years,1,White,1
Web Link 1,6718344324,160864355,02/25/2018 07:13:36 PM,02/25/2018 07:18:21 PM,72.48.12.36, , , , ,141300,02,25,2018,11,08,2002,15,Female,9,76708,Yes, , , , ,White, , ,No, ,no,Stepfather, ,Husband, ,1,High school graduate (including GED),Frequently,Frequently,Frequently,Occasionally,Never,Frequently,Always,Always,Never,Never,Never,Occasionally,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never, , , , , , , , , , , , , , , , , , , ,76708,south,2/25/2018,11/8/2002,15.2991101984942,14.00 to 15.99 years,1,Hispanic,1
Web Link 1,6720896513,160864355,02/26/2018 05:20:59 PM,02/26/2018 05:35:19 PM,24.155.156.145, , , , ,141275,02,26,2018,07,28,1999,18,Female,12,76713,No, , , , ,White, , ,No, ,yes,Father, ,Husband, ,2,Bachelor's degree or higher,Always,Always,Always,Never,Never,Occasionally,Frequently,Frequently,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Full License,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,76713,south,2/26/2018,7/28/1999,18.5845311430527,18.00 to 22.25 years,1,White,1
Web Link 1,6721025038,160864355,02/26/2018 06:46:18 PM,02/26/2018 06:56:11 PM,174.207.3.36, , , , ,141273,02,26,2018,10,24,2003,14,Male,8,76708,No, , , , ,White, , ,No, ,no,Father, ,Husband, ,2,Some college or associate degree,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Frequently,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Frequently,Frequently,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Frequently,Never,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Occasionally,Frequently,Never,Occasionally,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Occasionally,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Never,Occasionally, , , , , , , , , , , , , , , , , , , ,76708,south,2/26/2018,10/24/2003,14.3436002737851,14.00 to 15.99 years,1,White,1
Web Link 1,6721127966,160864355,02/26/2018 07:58:03 PM,02/26/2018 08:22:10 PM,173.173.34.192, , , , ,141271,02,26,2018,12,22,2004,13,Male,7,76708,Yes, , , , ,White, , ,No, ,no,Father, ,Husband, ,4 or more,High school graduate (including GED),Frequently,Frequently,Frequently,Occasionally,Never,Occasionally,Frequently,Frequently,Never,Occasionally,Never,Occasionally,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Occasionally,Occasionally,Occasionally,Never,Occasionally,Never,Never,Never,Occasionally,Never,Never,Occasionally,Frequently,Never,Occasionally,Never,Never,Occasionally,Never,Never,Occasionally,Never,Never,Never,Occasionally,Never,Occasionally,Occasionally,Never,Frequently,Never,Never, , , , , , , , , , , , , , , , , , , ,76708,south,2/26/2018,12/22/2004,13.1800136892539,11.75 to 13.99,1,Hispanic,1
