id,form,study
414073,adolescent-home,stand
414073,adolescent-school,stand
414073,adolescent-self,stand
414074,adolescent-home,stand
414074,adolescent-school,stand
414074,adolescent-self,stand
414075,adolescent-home,stand
414075,adolescent-school,stand
414075,adolescent-self,stand
414076,adolescent-home,stand
414076,adolescent-school,stand
414076,adolescent-self,stand
414076,adult-rater,alt
414076,adult-self,alt
414077,adolescent-home,stand
414077,adolescent-school,stand
414077,adolescent-self,stand
414077,adult-rater,alt
414077,adult-self,alt
414078,adolescent-home,stand
414078,adolescent-school,stand
414078,adolescent-self,stand
414078,adult-rater,alt
414078,adult-self,alt
414079,adolescent-home,stand
414079,adolescent-school,stand
414079,adolescent-self,stand
414079,adult-rater,alt
414079,adult-self,alt
414080,adolescent-home,stand
414080,adolescent-school,stand
414080,adolescent-self,stand
414080,adult-rater,alt
414080,adult-self,alt
414081,adolescent-home,stand
414081,adolescent-school,stand
414081,adolescent-self,stand
414081,adult-rater,alt
414081,adult-self,alt
414082,adolescent-home,stand
414082,adolescent-school,stand
414082,adolescent-self,stand
414082,adult-rater,alt
414082,adult-self,alt
414083,adolescent-home,stand
414083,adolescent-school,stand
414083,adolescent-self,stand
414083,adult-rater,alt
414083,adult-self,alt
414084,adolescent-home,stand
414084,adolescent-school,stand
414084,adolescent-self,stand
414084,adult-rater,alt
414084,adult-self,alt
414085,adolescent-home,stand
414085,adolescent-school,stand
414085,adolescent-self,stand
414085,adult-rater,alt
414085,adult-self,alt
